dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:50
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:1
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
anchor_num:500
layer_num:3
tra_kl_reg:1.0
dis_kl_reg:1.0
time_kl_reg:1.0
contra_reg:1.0
recon_reg:1.0
tra_delta:0.0
tem_delta:0.4
dis_delta:0.0
valid_epoch:1
device:cuda:1
In total: 737601 trainable parameters.
Train epoch:1, time: 0.000000(s), rec_loss: 8.1016, tra_kl_loss: 6.7503, time_kl_loss: 6.1568, dis_kl_loss: 6.1660, contra_loss: 22139.8005, recon_loss: 0.2159
Test epoch:1, time: 39.145867(s), Recall (@2: 0.0595, @5: 0.1296, @10: 0.1988), NDCG (@2: 0.0520, @5: 0.0828, @10: 0.1055)

Train epoch:2, time: 39.145867(s), rec_loss: 7.5254, tra_kl_loss: 6.4203, time_kl_loss: 5.5073, dis_kl_loss: 5.7469, contra_loss: 17557.2259, recon_loss: 0.2840
Test epoch:2, time: 57.793298(s), Recall (@2: 0.1104, @5: 0.1787, @10: 0.2354), NDCG (@2: 0.0968, @5: 0.1272, @10: 0.1457)

Train epoch:3, time: 57.793298(s), rec_loss: 6.9855, tra_kl_loss: 7.2755, time_kl_loss: 6.0648, dis_kl_loss: 5.3998, contra_loss: 3139.6104, recon_loss: 0.1141
Test epoch:3, time: 76.945259(s), Recall (@2: 0.1117, @5: 0.1818, @10: 0.2484), NDCG (@2: 0.0982, @5: 0.1296, @10: 0.1511)

Train epoch:4, time: 76.945259(s), rec_loss: 6.5256, tra_kl_loss: 6.6015, time_kl_loss: 4.9968, dis_kl_loss: 5.0668, contra_loss: 2458.5815, recon_loss: 0.0752
Test epoch:4, time: 96.243579(s), Recall (@2: 0.1216, @5: 0.1986, @10: 0.2736), NDCG (@2: 0.1055, @5: 0.1398, @10: 0.1642)

Train epoch:5, time: 96.243579(s), rec_loss: 6.2063, tra_kl_loss: 6.4630, time_kl_loss: 3.9223, dis_kl_loss: 4.9967, contra_loss: 2497.4591, recon_loss: 0.0692
Test epoch:5, time: 115.390449(s), Recall (@2: 0.1218, @5: 0.2005, @10: 0.2727), NDCG (@2: 0.1050, @5: 0.1400, @10: 0.1634)

Train epoch:6, time: 115.390449(s), rec_loss: 5.9758, tra_kl_loss: 6.3308, time_kl_loss: 3.3935, dis_kl_loss: 4.9297, contra_loss: 2576.8956, recon_loss: 0.0687
Test epoch:6, time: 201.828165(s), Recall (@2: 0.1313, @5: 0.2167, @10: 0.2859), NDCG (@2: 0.1128, @5: 0.1511, @10: 0.1735)

Train epoch:7, time: 201.828165(s), rec_loss: 5.7951, tra_kl_loss: 6.3475, time_kl_loss: 3.4823, dis_kl_loss: 4.8763, contra_loss: 2816.2047, recon_loss: 0.0666
Test epoch:7, time: 221.620081(s), Recall (@2: 0.1365, @5: 0.2229, @10: 0.2999), NDCG (@2: 0.1167, @5: 0.1555, @10: 0.1803)

Train epoch:8, time: 221.620081(s), rec_loss: 5.6529, tra_kl_loss: 6.3380, time_kl_loss: 2.9842, dis_kl_loss: 4.8879, contra_loss: 2962.8663, recon_loss: 0.0666
Test epoch:8, time: 241.869031(s), Recall (@2: 0.1421, @5: 0.2311, @10: 0.3029), NDCG (@2: 0.1227, @5: 0.1624, @10: 0.1857)

Train epoch:9, time: 241.869031(s), rec_loss: 5.5418, tra_kl_loss: 6.2535, time_kl_loss: 2.8596, dis_kl_loss: 4.9211, contra_loss: 3168.2938, recon_loss: 0.0650
Test epoch:9, time: 260.989564(s), Recall (@2: 0.1470, @5: 0.2285, @10: 0.3040), NDCG (@2: 0.1255, @5: 0.1617, @10: 0.1860)

Train epoch:10, time: 260.989564(s), rec_loss: 5.4408, tra_kl_loss: 6.1878, time_kl_loss: 2.6425, dis_kl_loss: 4.8469, contra_loss: 3266.0384, recon_loss: 0.0656
Test epoch:10, time: 280.345145(s), Recall (@2: 0.1468, @5: 0.2348, @10: 0.3051), NDCG (@2: 0.1261, @5: 0.1655, @10: 0.1882)

Train epoch:11, time: 280.345145(s), rec_loss: 5.3623, tra_kl_loss: 6.2156, time_kl_loss: 2.8944, dis_kl_loss: 4.8266, contra_loss: 3321.4880, recon_loss: 0.0641
Test epoch:11, time: 299.654643(s), Recall (@2: 0.1432, @5: 0.2320, @10: 0.3044), NDCG (@2: 0.1227, @5: 0.1624, @10: 0.1859)

Train epoch:12, time: 299.654643(s), rec_loss: 5.3007, tra_kl_loss: 6.1445, time_kl_loss: 2.6534, dis_kl_loss: 4.8408, contra_loss: 3344.9988, recon_loss: 0.0649
Test epoch:12, time: 655.081453(s), Recall (@2: 0.1462, @5: 0.2363, @10: 0.3135), NDCG (@2: 0.1265, @5: 0.1671, @10: 0.1919)

