dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:50
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:1
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
anchor_num:500
layer_num:3
tra_kl_reg:1.0
dis_kl_reg:1.0
time_kl_reg:1.0
contra_reg:1.0
recon_reg:1.0
tra_delta:0.0
tem_delta:0.4
dis_delta:0.0
valid_epoch:1
device:cuda:1
In total: 770101 trainable parameters.
Train epoch:1, time: 0.000000(s), rec_loss: 8.1093, tra_kl_loss: 6.6638, time_kl_loss: 6.4038, dis_kl_loss: 6.0829, contra_loss: 21003.8515, recon_loss: 18.3749
Test epoch:1, time: 19.763591(s), Recall (@2: 0.0517, @5: 0.1007, @10: 0.1863), NDCG (@2: 0.0449, @5: 0.0662, @10: 0.0938)

Train epoch:2, time: 19.763591(s), rec_loss: 7.3879, tra_kl_loss: 7.6219, time_kl_loss: 9.5079, dis_kl_loss: 5.9322, contra_loss: 33417.0503, recon_loss: 18.3529
Test epoch:2, time: 38.788931(s), Recall (@2: 0.1024, @5: 0.1630, @10: 0.2350), NDCG (@2: 0.0909, @5: 0.1178, @10: 0.1409)

Train epoch:3, time: 38.788931(s), rec_loss: 6.8396, tra_kl_loss: 7.3211, time_kl_loss: 6.6908, dis_kl_loss: 5.3842, contra_loss: 38787.0331, recon_loss: 18.2790
Test epoch:3, time: 57.610672(s), Recall (@2: 0.1110, @5: 0.1781, @10: 0.2419), NDCG (@2: 0.0976, @5: 0.1275, @10: 0.1479)

Train epoch:4, time: 57.610672(s), rec_loss: 6.4479, tra_kl_loss: 6.8528, time_kl_loss: 5.0785, dis_kl_loss: 5.0469, contra_loss: 42282.9260, recon_loss: 18.2172
Test epoch:4, time: 76.524443(s), Recall (@2: 0.1233, @5: 0.2040, @10: 0.2730), NDCG (@2: 0.1073, @5: 0.1436, @10: 0.1658)

Train epoch:5, time: 76.524443(s), rec_loss: 6.1789, tra_kl_loss: 6.6954, time_kl_loss: 4.0740, dis_kl_loss: 4.9919, contra_loss: 39262.7587, recon_loss: 18.2132
Test epoch:5, time: 95.661272(s), Recall (@2: 0.1263, @5: 0.2035, @10: 0.2669), NDCG (@2: 0.1090, @5: 0.1436, @10: 0.1640)

Train epoch:6, time: 95.661272(s), rec_loss: 5.9754, tra_kl_loss: 6.6504, time_kl_loss: 3.8489, dis_kl_loss: 4.9763, contra_loss: 37447.1599, recon_loss: 18.1237
Test epoch:6, time: 114.807487(s), Recall (@2: 0.1255, @5: 0.2044, @10: 0.2734), NDCG (@2: 0.1089, @5: 0.1443, @10: 0.1666)

Train epoch:7, time: 114.807487(s), rec_loss: 5.8185, tra_kl_loss: 6.6046, time_kl_loss: 3.6717, dis_kl_loss: 4.8964, contra_loss: 38571.8194, recon_loss: 18.1395
Test epoch:7, time: 134.106366(s), Recall (@2: 0.1356, @5: 0.2206, @10: 0.2932), NDCG (@2: 0.1164, @5: 0.1544, @10: 0.1778)

Train epoch:8, time: 134.106366(s), rec_loss: 5.6968, tra_kl_loss: 6.4444, time_kl_loss: 3.7219, dis_kl_loss: 4.9178, contra_loss: 38194.7093, recon_loss: 18.0392
Test epoch:8, time: 153.406224(s), Recall (@2: 0.1352, @5: 0.2156, @10: 0.2904), NDCG (@2: 0.1159, @5: 0.1517, @10: 0.1758)

Train epoch:9, time: 153.406224(s), rec_loss: 5.5864, tra_kl_loss: 6.4644, time_kl_loss: 3.5467, dis_kl_loss: 4.9053, contra_loss: 39155.4089, recon_loss: 18.0985
Test epoch:9, time: 172.444570(s), Recall (@2: 0.1429, @5: 0.2268, @10: 0.3008), NDCG (@2: 0.1218, @5: 0.1595, @10: 0.1834)

Train epoch:10, time: 172.444570(s), rec_loss: 5.5067, tra_kl_loss: 6.3986, time_kl_loss: 3.2649, dis_kl_loss: 4.8200, contra_loss: 35530.0227, recon_loss: 18.0461
Test epoch:10, time: 191.783020(s), Recall (@2: 0.1429, @5: 0.2275, @10: 0.3042), NDCG (@2: 0.1222, @5: 0.1599, @10: 0.1848)

Train epoch:11, time: 191.783020(s), rec_loss: 5.4334, tra_kl_loss: 6.4266, time_kl_loss: 3.0445, dis_kl_loss: 4.8376, contra_loss: 38989.5154, recon_loss: 17.9543
Test epoch:11, time: 210.904062(s), Recall (@2: 0.1427, @5: 0.2281, @10: 0.3003), NDCG (@2: 0.1229, @5: 0.1609, @10: 0.1842)

Train epoch:12, time: 210.904062(s), rec_loss: 5.3717, tra_kl_loss: 6.4020, time_kl_loss: 3.3770, dis_kl_loss: 4.8377, contra_loss: 40065.8093, recon_loss: 17.9551
Test epoch:12, time: 530.466588(s), Recall (@2: 0.1412, @5: 0.2301, @10: 0.3019), NDCG (@2: 0.1219, @5: 0.1618, @10: 0.1850)

Train epoch:13, time: 530.466588(s), rec_loss: 5.3258, tra_kl_loss: 6.4576, time_kl_loss: 3.2468, dis_kl_loss: 4.8864, contra_loss: 39829.7511, recon_loss: 18.0003
Test epoch:13, time: 549.885715(s), Recall (@2: 0.1492, @5: 0.2376, @10: 0.3111), NDCG (@2: 0.1280, @5: 0.1669, @10: 0.1907)

Train epoch:14, time: 549.885715(s), rec_loss: 5.2906, tra_kl_loss: 6.4507, time_kl_loss: 2.7929, dis_kl_loss: 4.8410, contra_loss: 41587.6282, recon_loss: 17.9704
Test epoch:14, time: 569.158032(s), Recall (@2: 0.1453, @5: 0.2311, @10: 0.3016), NDCG (@2: 0.1257, @5: 0.1642, @10: 0.1868)

Train epoch:15, time: 569.158032(s), rec_loss: 5.2540, tra_kl_loss: 6.3919, time_kl_loss: 3.0360, dis_kl_loss: 4.8027, contra_loss: 41645.6136, recon_loss: 17.9550
Test epoch:15, time: 588.822839(s), Recall (@2: 0.1496, @5: 0.2411, @10: 0.3169), NDCG (@2: 0.1285, @5: 0.1691, @10: 0.1936)

Train epoch:16, time: 588.822839(s), rec_loss: 5.2205, tra_kl_loss: 6.4724, time_kl_loss: 3.0855, dis_kl_loss: 4.8068, contra_loss: 42855.5388, recon_loss: 17.9306
Test epoch:16, time: 608.077574(s), Recall (@2: 0.1533, @5: 0.2335, @10: 0.3064), NDCG (@2: 0.1314, @5: 0.1672, @10: 0.1907)

Train epoch:17, time: 608.077574(s), rec_loss: 5.1866, tra_kl_loss: 6.5388, time_kl_loss: 3.1381, dis_kl_loss: 4.8422, contra_loss: 43322.3617, recon_loss: 17.9464
Test epoch:17, time: 627.392292(s), Recall (@2: 0.1490, @5: 0.2322, @10: 0.3081), NDCG (@2: 0.1286, @5: 0.1662, @10: 0.1906)

