dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:50
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:0
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
anchor_num:500
layer_num:3
tra_kl_reg:1.0
dis_kl_reg:1.0
time_kl_reg:1.0
contra_reg:1.0
recon_reg:1.0
tra_delta:0.0
tem_delta:0.4
dis_delta:0.0
valid_epoch:1
device:cuda:0
In total: 737601 trainable parameters.
Train epoch:1, time: 0.000000(s), rec_loss: 8.0672, tra_kl_loss: 6.5883, time_kl_loss: 6.2593, dis_kl_loss: 6.0679, contra_loss: 16943.6131, recon_loss: 0.0000
Test epoch:1, time: 15.571975(s), Recall (@2: 0.0880, @5: 0.1511, @10: 0.2104), NDCG (@2: 0.0791, @5: 0.1071, @10: 0.1263)

Train epoch:2, time: 15.571975(s), rec_loss: 7.2972, tra_kl_loss: 7.0195, time_kl_loss: 8.8376, dis_kl_loss: 5.9289, contra_loss: 26816.7757, recon_loss: 0.0000
Test epoch:2, time: 30.391622(s), Recall (@2: 0.1190, @5: 0.1958, @10: 0.2594), NDCG (@2: 0.1035, @5: 0.1380, @10: 0.1587)

Train epoch:3, time: 30.391622(s), rec_loss: 6.7358, tra_kl_loss: 6.7266, time_kl_loss: 6.4092, dis_kl_loss: 5.3809, contra_loss: 30823.3890, recon_loss: 0.0000
Test epoch:3, time: 45.125909(s), Recall (@2: 0.1158, @5: 0.1912, @10: 0.2628), NDCG (@2: 0.1002, @5: 0.1340, @10: 0.1572)

Train epoch:4, time: 45.125909(s), rec_loss: 6.3593, tra_kl_loss: 6.4851, time_kl_loss: 5.0822, dis_kl_loss: 5.1350, contra_loss: 31615.4547, recon_loss: 0.0000
Test epoch:4, time: 59.989713(s), Recall (@2: 0.1261, @5: 0.2070, @10: 0.2796), NDCG (@2: 0.1086, @5: 0.1450, @10: 0.1684)

Train epoch:5, time: 59.989713(s), rec_loss: 6.0982, tra_kl_loss: 6.4541, time_kl_loss: 4.2991, dis_kl_loss: 4.9984, contra_loss: 30930.7976, recon_loss: 0.0000
Test epoch:5, time: 74.777843(s), Recall (@2: 0.1261, @5: 0.2020, @10: 0.2762), NDCG (@2: 0.1076, @5: 0.1415, @10: 0.1655)

Train epoch:6, time: 74.777843(s), rec_loss: 5.9099, tra_kl_loss: 6.4266, time_kl_loss: 3.9058, dis_kl_loss: 4.9012, contra_loss: 27479.2900, recon_loss: 0.0000
Test epoch:6, time: 89.599164(s), Recall (@2: 0.1350, @5: 0.2165, @10: 0.2922), NDCG (@2: 0.1148, @5: 0.1508, @10: 0.1752)

Train epoch:7, time: 89.599164(s), rec_loss: 5.7608, tra_kl_loss: 6.3790, time_kl_loss: 3.7365, dis_kl_loss: 4.9002, contra_loss: 25601.1165, recon_loss: 0.0000
Test epoch:7, time: 104.852459(s), Recall (@2: 0.1378, @5: 0.2268, @10: 0.2995), NDCG (@2: 0.1187, @5: 0.1586, @10: 0.1820)

Train epoch:8, time: 104.852459(s), rec_loss: 5.6361, tra_kl_loss: 6.4185, time_kl_loss: 3.3333, dis_kl_loss: 4.8592, contra_loss: 23144.4470, recon_loss: 0.0000
Test epoch:8, time: 119.581219(s), Recall (@2: 0.1445, @5: 0.2268, @10: 0.3066), NDCG (@2: 0.1239, @5: 0.1611, @10: 0.1868)

Train epoch:9, time: 119.581219(s), rec_loss: 5.5368, tra_kl_loss: 6.3532, time_kl_loss: 3.0624, dis_kl_loss: 4.8570, contra_loss: 21185.9937, recon_loss: 0.0000
Test epoch:9, time: 134.510768(s), Recall (@2: 0.1404, @5: 0.2221, @10: 0.3025), NDCG (@2: 0.1211, @5: 0.1579, @10: 0.1839)

Train epoch:10, time: 134.510768(s), rec_loss: 5.4421, tra_kl_loss: 6.3074, time_kl_loss: 2.9872, dis_kl_loss: 4.8198, contra_loss: 18937.9629, recon_loss: 0.0000
Test epoch:10, time: 149.440071(s), Recall (@2: 0.1458, @5: 0.2311, @10: 0.3116), NDCG (@2: 0.1245, @5: 0.1629, @10: 0.1888)

Train epoch:11, time: 149.440071(s), rec_loss: 5.3678, tra_kl_loss: 6.3093, time_kl_loss: 2.9636, dis_kl_loss: 4.7866, contra_loss: 17245.6074, recon_loss: 0.0000
Test epoch:11, time: 164.208539(s), Recall (@2: 0.1451, @5: 0.2260, @10: 0.3040), NDCG (@2: 0.1255, @5: 0.1619, @10: 0.1871)

Train epoch:12, time: 164.208539(s), rec_loss: 5.3128, tra_kl_loss: 6.2549, time_kl_loss: 2.8504, dis_kl_loss: 4.8105, contra_loss: 15257.4960, recon_loss: 0.0000
Test epoch:12, time: 178.965871(s), Recall (@2: 0.1436, @5: 0.2279, @10: 0.3088), NDCG (@2: 0.1239, @5: 0.1622, @10: 0.1881)

Train epoch:13, time: 178.965871(s), rec_loss: 5.2591, tra_kl_loss: 6.2771, time_kl_loss: 2.8351, dis_kl_loss: 4.7909, contra_loss: 13844.0486, recon_loss: 0.0000
Test epoch:13, time: 193.888089(s), Recall (@2: 0.1511, @5: 0.2417, @10: 0.3187), NDCG (@2: 0.1291, @5: 0.1698, @10: 0.1946)

Train epoch:14, time: 193.888089(s), rec_loss: 5.2130, tra_kl_loss: 6.2802, time_kl_loss: 2.9613, dis_kl_loss: 4.7755, contra_loss: 12725.9606, recon_loss: 0.0000
Test epoch:14, time: 208.563440(s), Recall (@2: 0.1453, @5: 0.2305, @10: 0.3053), NDCG (@2: 0.1263, @5: 0.1644, @10: 0.1885)

Train epoch:15, time: 208.563440(s), rec_loss: 5.1734, tra_kl_loss: 6.2315, time_kl_loss: 2.7633, dis_kl_loss: 4.7599, contra_loss: 11295.8847, recon_loss: 0.0000
Test epoch:15, time: 223.364619(s), Recall (@2: 0.1470, @5: 0.2374, @10: 0.3085), NDCG (@2: 0.1279, @5: 0.1683, @10: 0.1912)

Train epoch:16, time: 223.364619(s), rec_loss: 5.1428, tra_kl_loss: 6.2226, time_kl_loss: 2.7862, dis_kl_loss: 4.7787, contra_loss: 10006.1330, recon_loss: 0.0000
Test epoch:16, time: 238.407274(s), Recall (@2: 0.1462, @5: 0.2292, @10: 0.3016), NDCG (@2: 0.1260, @5: 0.1633, @10: 0.1868)

Train epoch:17, time: 238.407274(s), rec_loss: 5.1076, tra_kl_loss: 6.2423, time_kl_loss: 2.7649, dis_kl_loss: 4.7944, contra_loss: 9069.2578, recon_loss: 0.0000
Test epoch:17, time: 253.362702(s), Recall (@2: 0.1539, @5: 0.2441, @10: 0.3174), NDCG (@2: 0.1319, @5: 0.1725, @10: 0.1961)

Train epoch:18, time: 253.362702(s), rec_loss: 5.0890, tra_kl_loss: 6.2781, time_kl_loss: 2.7820, dis_kl_loss: 4.8026, contra_loss: 8344.0773, recon_loss: 0.0000
Test epoch:18, time: 268.052204(s), Recall (@2: 0.1496, @5: 0.2367, @10: 0.3072), NDCG (@2: 0.1297, @5: 0.1688, @10: 0.1915)

Train epoch:19, time: 268.052204(s), rec_loss: 5.0635, tra_kl_loss: 6.1483, time_kl_loss: 2.7911, dis_kl_loss: 4.7771, contra_loss: 7259.1724, recon_loss: 0.0000
Test epoch:19, time: 282.803098(s), Recall (@2: 0.1516, @5: 0.2378, @10: 0.3120), NDCG (@2: 0.1314, @5: 0.1701, @10: 0.1940)

Train epoch:20, time: 282.803098(s), rec_loss: 5.0418, tra_kl_loss: 6.2823, time_kl_loss: 2.5027, dis_kl_loss: 4.7675, contra_loss: 6876.0482, recon_loss: 0.0000
Test epoch:20, time: 297.762141(s), Recall (@2: 0.1498, @5: 0.2389, @10: 0.3137), NDCG (@2: 0.1301, @5: 0.1701, @10: 0.1942)

Train epoch:21, time: 297.762141(s), rec_loss: 5.0206, tra_kl_loss: 6.2514, time_kl_loss: 2.5569, dis_kl_loss: 4.7578, contra_loss: 6398.3984, recon_loss: 0.0000
Test epoch:21, time: 312.697413(s), Recall (@2: 0.1535, @5: 0.2434, @10: 0.3172), NDCG (@2: 0.1325, @5: 0.1727, @10: 0.1965)

Train epoch:22, time: 312.697413(s), rec_loss: 5.0015, tra_kl_loss: 6.2190, time_kl_loss: 2.7163, dis_kl_loss: 4.7275, contra_loss: 5844.9931, recon_loss: 0.0000
Test epoch:22, time: 327.488605(s), Recall (@2: 0.1652, @5: 0.2592, @10: 0.3338), NDCG (@2: 0.1414, @5: 0.1839, @10: 0.2080)

Train epoch:23, time: 327.488605(s), rec_loss: 4.9960, tra_kl_loss: 6.2533, time_kl_loss: 2.5505, dis_kl_loss: 4.7655, contra_loss: 5660.8362, recon_loss: 0.0000
Test epoch:23, time: 342.156230(s), Recall (@2: 0.1492, @5: 0.2320, @10: 0.3060), NDCG (@2: 0.1293, @5: 0.1665, @10: 0.1904)

Train epoch:24, time: 342.156230(s), rec_loss: 4.9684, tra_kl_loss: 6.2203, time_kl_loss: 2.5261, dis_kl_loss: 4.7711, contra_loss: 5314.4779, recon_loss: 0.0000
Test epoch:24, time: 356.720751(s), Recall (@2: 0.1531, @5: 0.2411, @10: 0.3165), NDCG (@2: 0.1331, @5: 0.1724, @10: 0.1968)

Train epoch:25, time: 356.720751(s), rec_loss: 4.9600, tra_kl_loss: 6.3580, time_kl_loss: 2.5356, dis_kl_loss: 4.7485, contra_loss: 5297.1116, recon_loss: 0.0000
Test epoch:25, time: 371.199411(s), Recall (@2: 0.1527, @5: 0.2400, @10: 0.3113), NDCG (@2: 0.1308, @5: 0.1697, @10: 0.1929)

