dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:50
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:3
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
anchor_num:500
layer_num:3
tra_kl_reg:1.0
dis_kl_reg:1.0
time_kl_reg:1.0
contra_reg:1.0
recon_reg:1.0
tra_delta:0.0
tem_delta:0.4
dis_delta:0.0
valid_epoch:1
device:cuda:3
In total: 737601 trainable parameters.
Train epoch:1, time: 0.000000(s), rec_loss: 8.0957, tra_kl_loss: 6.5884, time_kl_loss: 6.1965, dis_kl_loss: 6.0514, contra_loss: 15411.3755, recon_loss: 0.0000
Test epoch:1, time: 16.719766(s), Recall (@2: 0.1097, @5: 0.1639, @10: 0.2201), NDCG (@2: 0.0967, @5: 0.1208, @10: 0.1388)

Train epoch:2, time: 16.719766(s), rec_loss: 7.3406, tra_kl_loss: 7.0799, time_kl_loss: 8.5390, dis_kl_loss: 5.8493, contra_loss: 25199.2573, recon_loss: 0.0000
Test epoch:2, time: 32.594327(s), Recall (@2: 0.1123, @5: 0.1981, @10: 0.2533), NDCG (@2: 0.0998, @5: 0.1378, @10: 0.1558)

Train epoch:3, time: 32.594327(s), rec_loss: 6.7947, tra_kl_loss: 6.7992, time_kl_loss: 6.0249, dis_kl_loss: 5.2615, contra_loss: 26182.7518, recon_loss: 0.0000
Test epoch:3, time: 47.363829(s), Recall (@2: 0.1125, @5: 0.1859, @10: 0.2618), NDCG (@2: 0.0981, @5: 0.1310, @10: 0.1554)

Train epoch:4, time: 47.363829(s), rec_loss: 6.4142, tra_kl_loss: 6.4874, time_kl_loss: 5.0141, dis_kl_loss: 5.0827, contra_loss: 26876.1407, recon_loss: 0.0000
Test epoch:4, time: 63.251506(s), Recall (@2: 0.1229, @5: 0.2087, @10: 0.2801), NDCG (@2: 0.1052, @5: 0.1438, @10: 0.1668)

Train epoch:5, time: 63.251506(s), rec_loss: 6.1461, tra_kl_loss: 6.4313, time_kl_loss: 4.1563, dis_kl_loss: 4.9612, contra_loss: 27027.9248, recon_loss: 0.0000
Test epoch:5, time: 79.314900(s), Recall (@2: 0.1212, @5: 0.2040, @10: 0.2771), NDCG (@2: 0.1048, @5: 0.1416, @10: 0.1655)

Train epoch:6, time: 79.314900(s), rec_loss: 5.9495, tra_kl_loss: 6.3616, time_kl_loss: 4.0124, dis_kl_loss: 4.9184, contra_loss: 25459.2383, recon_loss: 0.0000
Test epoch:6, time: 94.839779(s), Recall (@2: 0.1324, @5: 0.2128, @10: 0.2893), NDCG (@2: 0.1145, @5: 0.1507, @10: 0.1755)

Train epoch:7, time: 94.839779(s), rec_loss: 5.7935, tra_kl_loss: 6.3987, time_kl_loss: 3.6582, dis_kl_loss: 4.8680, contra_loss: 24590.0581, recon_loss: 0.0000
Test epoch:7, time: 110.327564(s), Recall (@2: 0.1373, @5: 0.2264, @10: 0.2984), NDCG (@2: 0.1184, @5: 0.1584, @10: 0.1816)

Train epoch:8, time: 110.327564(s), rec_loss: 5.6601, tra_kl_loss: 6.4507, time_kl_loss: 3.2856, dis_kl_loss: 4.8679, contra_loss: 23726.2799, recon_loss: 0.0000
