anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 8.327522(s), NDCG (@2: 0.0775, @5: 0.1016, @10: 0.1193), Recall (@2: 0.0886, @5: 0.1429, @10: 0.1981)
Test epoch:2, time: 8.327522(s), NDCG (@2: 0.0966, @5: 0.1227, @10: 0.1415), Recall (@2: 0.1102, @5: 0.1684, @10: 0.2270)

Valid epoch:4, time: 16.466189(s), NDCG (@2: 0.1045, @5: 0.1355, @10: 0.1553), Recall (@2: 0.1194, @5: 0.1893, @10: 0.2505)
Test epoch:4, time: 16.466189(s), NDCG (@2: 0.1107, @5: 0.1453, @10: 0.1662), Recall (@2: 0.1263, @5: 0.2038, @10: 0.2687)

Valid epoch:6, time: 24.645353(s), NDCG (@2: 0.1155, @5: 0.1491, @10: 0.1691), Recall (@2: 0.1339, @5: 0.2083, @10: 0.2702)
Test epoch:6, time: 24.645353(s), NDCG (@2: 0.1129, @5: 0.1486, @10: 0.1715), Recall (@2: 0.1311, @5: 0.2113, @10: 0.2822)

Valid epoch:8, time: 32.949919(s), NDCG (@2: 0.1191, @5: 0.1541, @10: 0.1749), Recall (@2: 0.1384, @5: 0.2165, @10: 0.2805)
Test epoch:8, time: 32.949919(s), NDCG (@2: 0.1186, @5: 0.1537, @10: 0.1771), Recall (@2: 0.1382, @5: 0.2165, @10: 0.2889)

Valid epoch:10, time: 41.074102(s), NDCG (@2: 0.1231, @5: 0.1604, @10: 0.1808), Recall (@2: 0.1438, @5: 0.2268, @10: 0.2902)
Test epoch:10, time: 41.074102(s), NDCG (@2: 0.1209, @5: 0.1608, @10: 0.1853), Recall (@2: 0.1412, @5: 0.2301, @10: 0.3060)

Valid epoch:12, time: 49.243856(s), NDCG (@2: 0.1208, @5: 0.1597, @10: 0.1813), Recall (@2: 0.1406, @5: 0.2273, @10: 0.2939)
Test epoch:12, time: 49.243856(s), NDCG (@2: 0.1240, @5: 0.1625, @10: 0.1863), Recall (@2: 0.1447, @5: 0.2311, @10: 0.3055)

Valid epoch:14, time: 57.419402(s), NDCG (@2: 0.1213, @5: 0.1596, @10: 0.1834), Recall (@2: 0.1397, @5: 0.2242, @10: 0.2980)
Test epoch:14, time: 57.419402(s), NDCG (@2: 0.1220, @5: 0.1594, @10: 0.1843), Recall (@2: 0.1397, @5: 0.2227, @10: 0.3001)

Valid epoch:16, time: 65.711454(s), NDCG (@2: 0.1220, @5: 0.1612, @10: 0.1851), Recall (@2: 0.1427, @5: 0.2298, @10: 0.3036)
Test epoch:16, time: 65.711454(s), NDCG (@2: 0.1306, @5: 0.1738, @10: 0.1973), Recall (@2: 0.1507, @5: 0.2471, @10: 0.3200)

Valid epoch:18, time: 73.898446(s), NDCG (@2: 0.1214, @5: 0.1610, @10: 0.1844), Recall (@2: 0.1401, @5: 0.2285, @10: 0.3003)
Test epoch:18, time: 73.898446(s), NDCG (@2: 0.1278, @5: 0.1642, @10: 0.1897), Recall (@2: 0.1475, @5: 0.2290, @10: 0.3081)

Valid epoch:20, time: 82.076700(s), NDCG (@2: 0.1199, @5: 0.1586, @10: 0.1815), Recall (@2: 0.1395, @5: 0.2255, @10: 0.2965)
Test epoch:20, time: 82.076700(s), NDCG (@2: 0.1263, @5: 0.1640, @10: 0.1875), Recall (@2: 0.1464, @5: 0.2307, @10: 0.3034)

Valid epoch:22, time: 90.237654(s), NDCG (@2: 0.1210, @5: 0.1597, @10: 0.1831), Recall (@2: 0.1408, @5: 0.2279, @10: 0.2999)
Test epoch:22, time: 90.237654(s), NDCG (@2: 0.1287, @5: 0.1664, @10: 0.1928), Recall (@2: 0.1477, @5: 0.2313, @10: 0.3129)

Valid epoch:24, time: 98.421831(s), NDCG (@2: 0.1205, @5: 0.1581, @10: 0.1819), Recall (@2: 0.1399, @5: 0.2238, @10: 0.2975)
Test epoch:24, time: 98.421831(s), NDCG (@2: 0.1270, @5: 0.1679, @10: 0.1908), Recall (@2: 0.1475, @5: 0.2385, @10: 0.3098)

Valid epoch:26, time: 106.155649(s), NDCG (@2: 0.1166, @5: 0.1566, @10: 0.1790), Recall (@2: 0.1350, @5: 0.2240, @10: 0.2932)
Test epoch:26, time: 106.155649(s), NDCG (@2: 0.1254, @5: 0.1638, @10: 0.1867), Recall (@2: 0.1462, @5: 0.2316, @10: 0.3027)

Valid epoch:28, time: 114.257330(s), NDCG (@2: 0.1182, @5: 0.1547, @10: 0.1789), Recall (@2: 0.1367, @5: 0.2182, @10: 0.2932)
Test epoch:28, time: 114.257330(s), NDCG (@2: 0.1277, @5: 0.1674, @10: 0.1914), Recall (@2: 0.1473, @5: 0.2354, @10: 0.3105)

Valid epoch:30, time: 122.280577(s), NDCG (@2: 0.1194, @5: 0.1579, @10: 0.1802), Recall (@2: 0.1391, @5: 0.2251, @10: 0.2947)
Test epoch:30, time: 122.280577(s), NDCG (@2: 0.1286, @5: 0.1668, @10: 0.1918), Recall (@2: 0.1503, @5: 0.2348, @10: 0.3124)

Valid epoch:32, time: 130.368302(s), NDCG (@2: 0.1174, @5: 0.1544, @10: 0.1773), Recall (@2: 0.1373, @5: 0.2193, @10: 0.2896)
Test epoch:32, time: 130.368302(s), NDCG (@2: 0.1241, @5: 0.1587, @10: 0.1822), Recall (@2: 0.1419, @5: 0.2191, @10: 0.2924)

Valid epoch:34, time: 138.190995(s), NDCG (@2: 0.1177, @5: 0.1543, @10: 0.1768), Recall (@2: 0.1367, @5: 0.2188, @10: 0.2881)
Test epoch:34, time: 138.190995(s), NDCG (@2: 0.1285, @5: 0.1649, @10: 0.1894), Recall (@2: 0.1468, @5: 0.2285, @10: 0.3042)

Valid epoch:36, time: 146.214086(s), NDCG (@2: 0.1191, @5: 0.1558, @10: 0.1787), Recall (@2: 0.1397, @5: 0.2214, @10: 0.2928)
Test epoch:36, time: 146.214086(s), NDCG (@2: 0.1281, @5: 0.1683, @10: 0.1923), Recall (@2: 0.1468, @5: 0.2359, @10: 0.3103)

Valid epoch:38, time: 153.901350(s), NDCG (@2: 0.1222, @5: 0.1583, @10: 0.1830), Recall (@2: 0.1417, @5: 0.2223, @10: 0.2984)
Test epoch:38, time: 153.901350(s), NDCG (@2: 0.1289, @5: 0.1680, @10: 0.1914), Recall (@2: 0.1481, @5: 0.2352, @10: 0.3079)

Valid epoch:40, time: 161.850155(s), NDCG (@2: 0.1183, @5: 0.1560, @10: 0.1779), Recall (@2: 0.1380, @5: 0.2212, @10: 0.2896)
Test epoch:40, time: 161.850155(s), NDCG (@2: 0.1329, @5: 0.1732, @10: 0.1955), Recall (@2: 0.1518, @5: 0.2417, @10: 0.3111)

Valid epoch:42, time: 169.818818(s), NDCG (@2: 0.1225, @5: 0.1586, @10: 0.1826), Recall (@2: 0.1417, @5: 0.2221, @10: 0.2969)
Test epoch:42, time: 169.818818(s), NDCG (@2: 0.1312, @5: 0.1678, @10: 0.1926), Recall (@2: 0.1505, @5: 0.2322, @10: 0.3090)

Valid epoch:44, time: 177.704847(s), NDCG (@2: 0.1204, @5: 0.1561, @10: 0.1800), Recall (@2: 0.1391, @5: 0.2180, @10: 0.2922)
Test epoch:44, time: 177.704847(s), NDCG (@2: 0.1226, @5: 0.1567, @10: 0.1820), Recall (@2: 0.1399, @5: 0.2165, @10: 0.2945)

Valid epoch:46, time: 185.888813(s), NDCG (@2: 0.1192, @5: 0.1548, @10: 0.1786), Recall (@2: 0.1365, @5: 0.2163, @10: 0.2898)
Test epoch:46, time: 185.888813(s), NDCG (@2: 0.1279, @5: 0.1647, @10: 0.1877), Recall (@2: 0.1451, @5: 0.2270, @10: 0.2978)

Valid epoch:48, time: 193.793007(s), NDCG (@2: 0.1199, @5: 0.1563, @10: 0.1802), Recall (@2: 0.1367, @5: 0.2184, @10: 0.2924)
Test epoch:48, time: 193.793007(s), NDCG (@2: 0.1278, @5: 0.1651, @10: 0.1873), Recall (@2: 0.1462, @5: 0.2301, @10: 0.2991)

Valid epoch:50, time: 201.390977(s), NDCG (@2: 0.1183, @5: 0.1542, @10: 0.1765), Recall (@2: 0.1358, @5: 0.2169, @10: 0.2861)
Test epoch:50, time: 201.390977(s), NDCG (@2: 0.1247, @5: 0.1607, @10: 0.1842), Recall (@2: 0.1412, @5: 0.2216, @10: 0.2945)

Valid epoch:52, time: 209.393621(s), NDCG (@2: 0.1222, @5: 0.1555, @10: 0.1791), Recall (@2: 0.1406, @5: 0.2152, @10: 0.2881)
Test epoch:52, time: 209.393621(s), NDCG (@2: 0.1274, @5: 0.1618, @10: 0.1867), Recall (@2: 0.1445, @5: 0.2221, @10: 0.2993)

Valid epoch:54, time: 217.352448(s), NDCG (@2: 0.1198, @5: 0.1566, @10: 0.1779), Recall (@2: 0.1378, @5: 0.2201, @10: 0.2861)
Test epoch:54, time: 217.352448(s), NDCG (@2: 0.1233, @5: 0.1590, @10: 0.1835), Recall (@2: 0.1412, @5: 0.2214, @10: 0.2973)

Valid epoch:56, time: 225.459369(s), NDCG (@2: 0.1190, @5: 0.1526, @10: 0.1769), Recall (@2: 0.1369, @5: 0.2117, @10: 0.2874)
Test epoch:56, time: 225.459369(s), NDCG (@2: 0.1271, @5: 0.1611, @10: 0.1846), Recall (@2: 0.1449, @5: 0.2206, @10: 0.2930)

Valid epoch:58, time: 233.651823(s), NDCG (@2: 0.1185, @5: 0.1537, @10: 0.1777), Recall (@2: 0.1367, @5: 0.2152, @10: 0.2893)
Test epoch:58, time: 233.651823(s), NDCG (@2: 0.1281, @5: 0.1635, @10: 0.1857), Recall (@2: 0.1445, @5: 0.2236, @10: 0.2924)

Valid epoch:60, time: 241.711526(s), NDCG (@2: 0.1187, @5: 0.1552, @10: 0.1767), Recall (@2: 0.1365, @5: 0.2180, @10: 0.2846)
Test epoch:60, time: 241.711526(s), NDCG (@2: 0.1261, @5: 0.1598, @10: 0.1839), Recall (@2: 0.1414, @5: 0.2169, @10: 0.2913)

Valid epoch:62, time: 249.761775(s), NDCG (@2: 0.1193, @5: 0.1548, @10: 0.1780), Recall (@2: 0.1367, @5: 0.2154, @10: 0.2872)
Test epoch:62, time: 249.761775(s), NDCG (@2: 0.1255, @5: 0.1603, @10: 0.1838), Recall (@2: 0.1423, @5: 0.2201, @10: 0.2934)

Valid epoch:64, time: 257.690353(s), NDCG (@2: 0.1159, @5: 0.1544, @10: 0.1769), Recall (@2: 0.1337, @5: 0.2193, @10: 0.2893)
Test epoch:64, time: 257.690353(s), NDCG (@2: 0.1252, @5: 0.1589, @10: 0.1833), Recall (@2: 0.1432, @5: 0.2188, @10: 0.2947)

Valid epoch:66, time: 265.617066(s), NDCG (@2: 0.1174, @5: 0.1528, @10: 0.1774), Recall (@2: 0.1352, @5: 0.2137, @10: 0.2898)
Test epoch:66, time: 265.617066(s), NDCG (@2: 0.1297, @5: 0.1651, @10: 0.1872), Recall (@2: 0.1473, @5: 0.2270, @10: 0.2952)

Valid epoch:68, time: 273.638013(s), NDCG (@2: 0.1156, @5: 0.1524, @10: 0.1746), Recall (@2: 0.1335, @5: 0.2158, @10: 0.2844)
Test epoch:68, time: 273.638013(s), NDCG (@2: 0.1226, @5: 0.1553, @10: 0.1777), Recall (@2: 0.1401, @5: 0.2132, @10: 0.2822)

Valid epoch:70, time: 281.765279(s), NDCG (@2: 0.1189, @5: 0.1547, @10: 0.1791), Recall (@2: 0.1365, @5: 0.2165, @10: 0.2915)
Test epoch:70, time: 281.765279(s), NDCG (@2: 0.1281, @5: 0.1649, @10: 0.1884), Recall (@2: 0.1445, @5: 0.2268, @10: 0.2997)

Valid epoch:72, time: 289.934628(s), NDCG (@2: 0.1216, @5: 0.1555, @10: 0.1784), Recall (@2: 0.1406, @5: 0.2152, @10: 0.2859)
Test epoch:72, time: 289.934628(s), NDCG (@2: 0.1275, @5: 0.1659, @10: 0.1880), Recall (@2: 0.1442, @5: 0.2301, @10: 0.2984)

Valid epoch:74, time: 298.095799(s), NDCG (@2: 0.1184, @5: 0.1528, @10: 0.1771), Recall (@2: 0.1371, @5: 0.2137, @10: 0.2889)
Test epoch:74, time: 298.095799(s), NDCG (@2: 0.1295, @5: 0.1648, @10: 0.1876), Recall (@2: 0.1466, @5: 0.2257, @10: 0.2962)

Valid epoch:76, time: 306.223551(s), NDCG (@2: 0.1176, @5: 0.1530, @10: 0.1775), Recall (@2: 0.1365, @5: 0.2158, @10: 0.2917)
Test epoch:76, time: 306.223551(s), NDCG (@2: 0.1287, @5: 0.1619, @10: 0.1874), Recall (@2: 0.1479, @5: 0.2223, @10: 0.3016)

Valid epoch:78, time: 314.328723(s), NDCG (@2: 0.1166, @5: 0.1515, @10: 0.1767), Recall (@2: 0.1350, @5: 0.2128, @10: 0.2909)
Test epoch:78, time: 314.328723(s), NDCG (@2: 0.1230, @5: 0.1576, @10: 0.1812), Recall (@2: 0.1408, @5: 0.2176, @10: 0.2909)

Valid epoch:80, time: 322.440817(s), NDCG (@2: 0.1144, @5: 0.1507, @10: 0.1742), Recall (@2: 0.1311, @5: 0.2119, @10: 0.2850)
Test epoch:80, time: 322.440817(s), NDCG (@2: 0.1252, @5: 0.1591, @10: 0.1824), Recall (@2: 0.1432, @5: 0.2199, @10: 0.2919)

Valid epoch:82, time: 330.382949(s), NDCG (@2: 0.1125, @5: 0.1483, @10: 0.1724), Recall (@2: 0.1311, @5: 0.2104, @10: 0.2850)
Test epoch:82, time: 330.382949(s), NDCG (@2: 0.1283, @5: 0.1640, @10: 0.1866), Recall (@2: 0.1449, @5: 0.2249, @10: 0.2947)

Valid epoch:84, time: 338.399993(s), NDCG (@2: 0.1125, @5: 0.1515, @10: 0.1743), Recall (@2: 0.1268, @5: 0.2132, @10: 0.2837)
Test epoch:84, time: 338.399993(s), NDCG (@2: 0.1261, @5: 0.1618, @10: 0.1847), Recall (@2: 0.1432, @5: 0.2225, @10: 0.2934)

Valid epoch:86, time: 346.565819(s), NDCG (@2: 0.1157, @5: 0.1498, @10: 0.1726), Recall (@2: 0.1339, @5: 0.2102, @10: 0.2812)
Test epoch:86, time: 346.565819(s), NDCG (@2: 0.1245, @5: 0.1574, @10: 0.1808), Recall (@2: 0.1412, @5: 0.2143, @10: 0.2870)

Valid epoch:88, time: 354.549738(s), NDCG (@2: 0.1156, @5: 0.1512, @10: 0.1756), Recall (@2: 0.1335, @5: 0.2124, @10: 0.2885)
Test epoch:88, time: 354.549738(s), NDCG (@2: 0.1316, @5: 0.1664, @10: 0.1907), Recall (@2: 0.1492, @5: 0.2262, @10: 0.3012)

Valid epoch:90, time: 362.590376(s), NDCG (@2: 0.1172, @5: 0.1522, @10: 0.1753), Recall (@2: 0.1363, @5: 0.2137, @10: 0.2855)
