anchor_num:300
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 7.230288(s), Recall (@2: 0.0862, @5: 0.1386, @10: 0.1966), NDCG (@2: 0.0757, @5: 0.0993, @10: 0.1178)
Test epoch:2, time: 7.230288(s), Recall (@2: 0.1046, @5: 0.1669, @10: 0.2255), NDCG (@2: 0.0913, @5: 0.1191, @10: 0.1381)

Valid epoch:4, time: 14.064123(s), Recall (@2: 0.1145, @5: 0.1803, @10: 0.2451), NDCG (@2: 0.0997, @5: 0.1291, @10: 0.1500)
Test epoch:4, time: 14.064123(s), Recall (@2: 0.1227, @5: 0.2020, @10: 0.2624), NDCG (@2: 0.1072, @5: 0.1427, @10: 0.1621)

Valid epoch:6, time: 21.044660(s), Recall (@2: 0.1300, @5: 0.2018, @10: 0.2643), NDCG (@2: 0.1128, @5: 0.1454, @10: 0.1655)
Test epoch:6, time: 21.044660(s), Recall (@2: 0.1266, @5: 0.2072, @10: 0.2777), NDCG (@2: 0.1099, @5: 0.1460, @10: 0.1688)

Valid epoch:8, time: 28.230577(s), Recall (@2: 0.1324, @5: 0.2107, @10: 0.2805), NDCG (@2: 0.1147, @5: 0.1497, @10: 0.1724)
Test epoch:8, time: 28.230577(s), Recall (@2: 0.1361, @5: 0.2158, @10: 0.2900), NDCG (@2: 0.1162, @5: 0.1519, @10: 0.1758)

Valid epoch:10, time: 35.204251(s), Recall (@2: 0.1399, @5: 0.2180, @10: 0.2872), NDCG (@2: 0.1211, @5: 0.1561, @10: 0.1784)
Test epoch:10, time: 35.204251(s), Recall (@2: 0.1427, @5: 0.2260, @10: 0.2997), NDCG (@2: 0.1222, @5: 0.1597, @10: 0.1836)

Valid epoch:12, time: 42.456263(s), Recall (@2: 0.1393, @5: 0.2232, @10: 0.2896), NDCG (@2: 0.1202, @5: 0.1577, @10: 0.1792)
Test epoch:12, time: 42.456263(s), Recall (@2: 0.1477, @5: 0.2307, @10: 0.3038), NDCG (@2: 0.1261, @5: 0.1630, @10: 0.1866)

Valid epoch:14, time: 50.036518(s), Recall (@2: 0.1380, @5: 0.2232, @10: 0.2887), NDCG (@2: 0.1195, @5: 0.1582, @10: 0.1795)
Test epoch:14, time: 50.036518(s), Recall (@2: 0.1451, @5: 0.2277, @10: 0.2973), NDCG (@2: 0.1246, @5: 0.1612, @10: 0.1838)

Valid epoch:16, time: 57.912087(s), Recall (@2: 0.1382, @5: 0.2301, @10: 0.2945), NDCG (@2: 0.1180, @5: 0.1593, @10: 0.1803)
Test epoch:16, time: 57.912087(s), Recall (@2: 0.1539, @5: 0.2434, @10: 0.3107), NDCG (@2: 0.1333, @5: 0.1735, @10: 0.1955)

Valid epoch:18, time: 65.801955(s), Recall (@2: 0.1373, @5: 0.2270, @10: 0.2980), NDCG (@2: 0.1186, @5: 0.1589, @10: 0.1820)
Test epoch:18, time: 65.801955(s), Recall (@2: 0.1481, @5: 0.2363, @10: 0.3081), NDCG (@2: 0.1283, @5: 0.1677, @10: 0.1909)

Valid epoch:20, time: 73.470896(s), Recall (@2: 0.1389, @5: 0.2270, @10: 0.2962), NDCG (@2: 0.1183, @5: 0.1578, @10: 0.1801)
Test epoch:20, time: 73.470896(s), Recall (@2: 0.1470, @5: 0.2309, @10: 0.2995), NDCG (@2: 0.1281, @5: 0.1658, @10: 0.1880)

Valid epoch:22, time: 81.400186(s), Recall (@2: 0.1365, @5: 0.2268, @10: 0.2950), NDCG (@2: 0.1183, @5: 0.1588, @10: 0.1808)
Test epoch:22, time: 81.400186(s), Recall (@2: 0.1458, @5: 0.2294, @10: 0.3057), NDCG (@2: 0.1257, @5: 0.1633, @10: 0.1878)

