anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 8.050989(s), Recall (@2: 0.0895, @5: 0.1412, @10: 0.1979), NDCG (@2: 0.0789, @5: 0.1021, @10: 0.1202)
Test epoch:2, time: 8.050989(s), Recall (@2: 0.1095, @5: 0.1701, @10: 0.2285), NDCG (@2: 0.0953, @5: 0.1223, @10: 0.1411)

Valid epoch:4, time: 16.343071(s), Recall (@2: 0.1151, @5: 0.1833, @10: 0.2477), NDCG (@2: 0.1007, @5: 0.1312, @10: 0.1520)
Test epoch:4, time: 16.343071(s), Recall (@2: 0.1259, @5: 0.2044, @10: 0.2671), NDCG (@2: 0.1097, @5: 0.1448, @10: 0.1650)

Valid epoch:6, time: 24.194040(s), Recall (@2: 0.1292, @5: 0.2044, @10: 0.2667), NDCG (@2: 0.1127, @5: 0.1466, @10: 0.1667)
Test epoch:6, time: 24.194040(s), Recall (@2: 0.1298, @5: 0.2107, @10: 0.2790), NDCG (@2: 0.1119, @5: 0.1482, @10: 0.1703)

Valid epoch:8, time: 32.331178(s), Recall (@2: 0.1371, @5: 0.2135, @10: 0.2812), NDCG (@2: 0.1178, @5: 0.1522, @10: 0.1741)
Test epoch:8, time: 32.331178(s), Recall (@2: 0.1367, @5: 0.2163, @10: 0.2883), NDCG (@2: 0.1182, @5: 0.1536, @10: 0.1769)

Valid epoch:10, time: 40.736932(s), Recall (@2: 0.1414, @5: 0.2182, @10: 0.2857), NDCG (@2: 0.1216, @5: 0.1561, @10: 0.1779)
Test epoch:10, time: 40.736932(s), Recall (@2: 0.1447, @5: 0.2281, @10: 0.3025), NDCG (@2: 0.1228, @5: 0.1600, @10: 0.1840)

Valid epoch:12, time: 48.627673(s), Recall (@2: 0.1376, @5: 0.2214, @10: 0.2902), NDCG (@2: 0.1183, @5: 0.1561, @10: 0.1784)
Test epoch:12, time: 48.627673(s), Recall (@2: 0.1475, @5: 0.2296, @10: 0.3072), NDCG (@2: 0.1258, @5: 0.1628, @10: 0.1879)

