anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 13.853529(s), Recall (@2: 0.0860, @5: 0.1380, @10: 0.1943), NDCG (@2: 0.0754, @5: 0.0990, @10: 0.1173)
Test epoch:2, time: 13.853529(s), Recall (@2: 0.1011, @5: 0.1682, @10: 0.2242), NDCG (@2: 0.0876, @5: 0.1175, @10: 0.1357)

Valid epoch:4, time: 27.928116(s), Recall (@2: 0.1210, @5: 0.1854, @10: 0.2434), NDCG (@2: 0.1049, @5: 0.1336, @10: 0.1522)
Test epoch:4, time: 27.928116(s), Recall (@2: 0.1177, @5: 0.1831, @10: 0.2559), NDCG (@2: 0.1030, @5: 0.1321, @10: 0.1556)

Valid epoch:6, time: 42.147135(s), Recall (@2: 0.1324, @5: 0.2094, @10: 0.2687), NDCG (@2: 0.1152, @5: 0.1495, @10: 0.1686)
Test epoch:6, time: 42.147135(s), Recall (@2: 0.1315, @5: 0.2111, @10: 0.2822), NDCG (@2: 0.1136, @5: 0.1495, @10: 0.1724)

Valid epoch:8, time: 56.446546(s), Recall (@2: 0.1382, @5: 0.2176, @10: 0.2833), NDCG (@2: 0.1195, @5: 0.1549, @10: 0.1762)
Test epoch:8, time: 56.446546(s), Recall (@2: 0.1492, @5: 0.2372, @10: 0.3116), NDCG (@2: 0.1291, @5: 0.1686, @10: 0.1927)

Valid epoch:10, time: 71.204357(s), Recall (@2: 0.1378, @5: 0.2180, @10: 0.2896), NDCG (@2: 0.1196, @5: 0.1561, @10: 0.1791)
Test epoch:10, time: 71.204357(s), Recall (@2: 0.1455, @5: 0.2298, @10: 0.3031), NDCG (@2: 0.1254, @5: 0.1634, @10: 0.1872)

Valid epoch:12, time: 85.729199(s), Recall (@2: 0.1399, @5: 0.2197, @10: 0.2913), NDCG (@2: 0.1210, @5: 0.1569, @10: 0.1800)
Test epoch:12, time: 85.729199(s), Recall (@2: 0.1445, @5: 0.2303, @10: 0.3051), NDCG (@2: 0.1249, @5: 0.1636, @10: 0.1877)

Valid epoch:14, time: 100.429212(s), Recall (@2: 0.1423, @5: 0.2199, @10: 0.2969), NDCG (@2: 0.1232, @5: 0.1580, @10: 0.1829)
Test epoch:14, time: 100.429212(s), Recall (@2: 0.1522, @5: 0.2398, @10: 0.3146), NDCG (@2: 0.1311, @5: 0.1703, @10: 0.1946)

Valid epoch:16, time: 115.409808(s), Recall (@2: 0.1414, @5: 0.2229, @10: 0.2960), NDCG (@2: 0.1221, @5: 0.1587, @10: 0.1822)
Test epoch:16, time: 115.409808(s), Recall (@2: 0.1531, @5: 0.2419, @10: 0.3193), NDCG (@2: 0.1322, @5: 0.1720, @10: 0.1971)

Valid epoch:18, time: 130.263386(s), Recall (@2: 0.1440, @5: 0.2268, @10: 0.2975), NDCG (@2: 0.1249, @5: 0.1617, @10: 0.1844)
Test epoch:18, time: 130.263386(s), Recall (@2: 0.1509, @5: 0.2434, @10: 0.3210), NDCG (@2: 0.1300, @5: 0.1716, @10: 0.1965)

Valid epoch:20, time: 145.788862(s), Recall (@2: 0.1427, @5: 0.2281, @10: 0.2982), NDCG (@2: 0.1235, @5: 0.1616, @10: 0.1842)
