anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:128
train_dir:default
valid_epoch:2

Valid epoch:2, time: 6.377592(s), Recall (@2: 0.0862, @5: 0.1365, @10: 0.1915), NDCG (@2: 0.0743, @5: 0.0968, @10: 0.1144)
Test epoch:2, time: 6.377592(s), Recall (@2: 0.0867, @5: 0.1451, @10: 0.2025), NDCG (@2: 0.0743, @5: 0.1006, @10: 0.1189)

Valid epoch:4, time: 12.860404(s), Recall (@2: 0.1125, @5: 0.1774, @10: 0.2408), NDCG (@2: 0.0995, @5: 0.1284, @10: 0.1487)
Test epoch:4, time: 12.860404(s), Recall (@2: 0.1197, @5: 0.1891, @10: 0.2585), NDCG (@2: 0.1041, @5: 0.1350, @10: 0.1574)

Valid epoch:6, time: 19.407731(s), Recall (@2: 0.1300, @5: 0.2012, @10: 0.2648), NDCG (@2: 0.1132, @5: 0.1452, @10: 0.1657)
Test epoch:6, time: 19.407731(s), Recall (@2: 0.1298, @5: 0.2117, @10: 0.2764), NDCG (@2: 0.1129, @5: 0.1493, @10: 0.1702)

Valid epoch:8, time: 25.741549(s), Recall (@2: 0.1345, @5: 0.2180, @10: 0.2816), NDCG (@2: 0.1170, @5: 0.1545, @10: 0.1748)
Test epoch:8, time: 25.741549(s), Recall (@2: 0.1453, @5: 0.2232, @10: 0.2956), NDCG (@2: 0.1247, @5: 0.1595, @10: 0.1830)

Valid epoch:10, time: 32.129630(s), Recall (@2: 0.1389, @5: 0.2173, @10: 0.2893), NDCG (@2: 0.1198, @5: 0.1554, @10: 0.1787)
Test epoch:10, time: 32.129630(s), Recall (@2: 0.1458, @5: 0.2292, @10: 0.3014), NDCG (@2: 0.1262, @5: 0.1637, @10: 0.1871)

Valid epoch:12, time: 38.743381(s), Recall (@2: 0.1401, @5: 0.2219, @10: 0.2919), NDCG (@2: 0.1201, @5: 0.1566, @10: 0.1793)
Test epoch:12, time: 38.743381(s), Recall (@2: 0.1561, @5: 0.2348, @10: 0.3066), NDCG (@2: 0.1330, @5: 0.1683, @10: 0.1914)

Valid epoch:14, time: 45.368969(s), Recall (@2: 0.1378, @5: 0.2214, @10: 0.2891), NDCG (@2: 0.1181, @5: 0.1558, @10: 0.1777)
Test epoch:14, time: 45.368969(s), Recall (@2: 0.1514, @5: 0.2301, @10: 0.3008), NDCG (@2: 0.1311, @5: 0.1663, @10: 0.1889)

Valid epoch:16, time: 51.903739(s), Recall (@2: 0.1432, @5: 0.2234, @10: 0.2958), NDCG (@2: 0.1237, @5: 0.1595, @10: 0.1827)
Test epoch:16, time: 51.903739(s), Recall (@2: 0.1458, @5: 0.2281, @10: 0.2978), NDCG (@2: 0.1271, @5: 0.1642, @10: 0.1867)

Valid epoch:18, time: 58.414929(s), Recall (@2: 0.1380, @5: 0.2270, @10: 0.2993), NDCG (@2: 0.1196, @5: 0.1592, @10: 0.1824)
Test epoch:18, time: 58.414929(s), Recall (@2: 0.1524, @5: 0.2307, @10: 0.3047), NDCG (@2: 0.1323, @5: 0.1675, @10: 0.1911)

Valid epoch:20, time: 64.969592(s), Recall (@2: 0.1382, @5: 0.2251, @10: 0.2937), NDCG (@2: 0.1200, @5: 0.1587, @10: 0.1809)
Test epoch:20, time: 64.969592(s), Recall (@2: 0.1531, @5: 0.2385, @10: 0.3144), NDCG (@2: 0.1334, @5: 0.1719, @10: 0.1964)

Valid epoch:22, time: 71.607548(s), Recall (@2: 0.1427, @5: 0.2245, @10: 0.2911), NDCG (@2: 0.1219, @5: 0.1586, @10: 0.1801)
Test epoch:22, time: 71.607548(s), Recall (@2: 0.1552, @5: 0.2434, @10: 0.3141), NDCG (@2: 0.1341, @5: 0.1734, @10: 0.1963)

Valid epoch:24, time: 78.258173(s), Recall (@2: 0.1425, @5: 0.2247, @10: 0.3010), NDCG (@2: 0.1225, @5: 0.1591, @10: 0.1837)
Test epoch:24, time: 78.258173(s), Recall (@2: 0.1600, @5: 0.2436, @10: 0.3113), NDCG (@2: 0.1388, @5: 0.1764, @10: 0.1983)

Valid epoch:26, time: 84.625515(s), Recall (@2: 0.1397, @5: 0.2193, @10: 0.2911), NDCG (@2: 0.1213, @5: 0.1569, @10: 0.1801)
Test epoch:26, time: 84.625515(s), Recall (@2: 0.1494, @5: 0.2260, @10: 0.2960), NDCG (@2: 0.1305, @5: 0.1649, @10: 0.1875)

Valid epoch:28, time: 91.466265(s), Recall (@2: 0.1378, @5: 0.2216, @10: 0.2932), NDCG (@2: 0.1196, @5: 0.1575, @10: 0.1807)
Test epoch:28, time: 91.466265(s), Recall (@2: 0.1529, @5: 0.2430, @10: 0.3159), NDCG (@2: 0.1335, @5: 0.1739, @10: 0.1973)

Valid epoch:30, time: 98.004194(s), Recall (@2: 0.1391, @5: 0.2199, @10: 0.2958), NDCG (@2: 0.1204, @5: 0.1567, @10: 0.1813)
Test epoch:30, time: 98.004194(s), Recall (@2: 0.1460, @5: 0.2275, @10: 0.3012), NDCG (@2: 0.1281, @5: 0.1644, @10: 0.1882)

Valid epoch:32, time: 104.433925(s), Recall (@2: 0.1382, @5: 0.2219, @10: 0.2943), NDCG (@2: 0.1198, @5: 0.1573, @10: 0.1807)
Test epoch:32, time: 104.433925(s), Recall (@2: 0.1464, @5: 0.2257, @10: 0.3029), NDCG (@2: 0.1283, @5: 0.1642, @10: 0.1890)

Valid epoch:34, time: 111.137084(s), Recall (@2: 0.1371, @5: 0.2199, @10: 0.2930), NDCG (@2: 0.1189, @5: 0.1563, @10: 0.1799)
Test epoch:34, time: 111.137084(s), Recall (@2: 0.1475, @5: 0.2290, @10: 0.3010), NDCG (@2: 0.1299, @5: 0.1666, @10: 0.1898)

Valid epoch:36, time: 117.689445(s), Recall (@2: 0.1451, @5: 0.2210, @10: 0.2919), NDCG (@2: 0.1248, @5: 0.1588, @10: 0.1818)
Test epoch:36, time: 117.689445(s), Recall (@2: 0.1488, @5: 0.2322, @10: 0.3038), NDCG (@2: 0.1302, @5: 0.1677, @10: 0.1908)

Valid epoch:38, time: 124.037653(s), Recall (@2: 0.1341, @5: 0.2193, @10: 0.2922), NDCG (@2: 0.1167, @5: 0.1553, @10: 0.1787)
Test epoch:38, time: 124.037653(s), Recall (@2: 0.1445, @5: 0.2234, @10: 0.2956), NDCG (@2: 0.1270, @5: 0.1625, @10: 0.1859)

Valid epoch:40, time: 130.630924(s), Recall (@2: 0.1378, @5: 0.2182, @10: 0.2893), NDCG (@2: 0.1194, @5: 0.1554, @10: 0.1785)
Test epoch:40, time: 130.630924(s), Recall (@2: 0.1442, @5: 0.2195, @10: 0.2900), NDCG (@2: 0.1253, @5: 0.1591, @10: 0.1818)

Valid epoch:42, time: 137.946904(s), Recall (@2: 0.1427, @5: 0.2182, @10: 0.2939), NDCG (@2: 0.1228, @5: 0.1565, @10: 0.1810)
Test epoch:42, time: 137.946904(s), Recall (@2: 0.1505, @5: 0.2307, @10: 0.3029), NDCG (@2: 0.1329, @5: 0.1689, @10: 0.1922)

Valid epoch:44, time: 145.685975(s), Recall (@2: 0.1352, @5: 0.2150, @10: 0.2937), NDCG (@2: 0.1159, @5: 0.1518, @10: 0.1772)
Test epoch:44, time: 145.685975(s), Recall (@2: 0.1475, @5: 0.2270, @10: 0.2986), NDCG (@2: 0.1297, @5: 0.1653, @10: 0.1885)

Valid epoch:46, time: 152.853844(s), Recall (@2: 0.1389, @5: 0.2176, @10: 0.2930), NDCG (@2: 0.1202, @5: 0.1558, @10: 0.1802)
Test epoch:46, time: 152.853844(s), Recall (@2: 0.1550, @5: 0.2333, @10: 0.3053), NDCG (@2: 0.1358, @5: 0.1709, @10: 0.1941)

Valid epoch:48, time: 160.673218(s), Recall (@2: 0.1341, @5: 0.2184, @10: 0.2917), NDCG (@2: 0.1158, @5: 0.1536, @10: 0.1773)
Test epoch:48, time: 160.673218(s), Recall (@2: 0.1464, @5: 0.2249, @10: 0.2954), NDCG (@2: 0.1289, @5: 0.1643, @10: 0.1870)

Valid epoch:50, time: 168.335504(s), Recall (@2: 0.1348, @5: 0.2145, @10: 0.2900), NDCG (@2: 0.1169, @5: 0.1526, @10: 0.1772)
Test epoch:50, time: 168.335504(s), Recall (@2: 0.1460, @5: 0.2163, @10: 0.2906), NDCG (@2: 0.1273, @5: 0.1591, @10: 0.1830)

Valid epoch:52, time: 176.578253(s), Recall (@2: 0.1363, @5: 0.2208, @10: 0.2947), NDCG (@2: 0.1178, @5: 0.1555, @10: 0.1794)
Test epoch:52, time: 176.578253(s), Recall (@2: 0.1464, @5: 0.2266, @10: 0.3016), NDCG (@2: 0.1266, @5: 0.1626, @10: 0.1870)

Valid epoch:54, time: 184.005262(s), Recall (@2: 0.1352, @5: 0.2206, @10: 0.2924), NDCG (@2: 0.1174, @5: 0.1555, @10: 0.1787)
Test epoch:54, time: 184.005262(s), Recall (@2: 0.1468, @5: 0.2204, @10: 0.2926), NDCG (@2: 0.1292, @5: 0.1623, @10: 0.1857)

Valid epoch:56, time: 191.515079(s), Recall (@2: 0.1376, @5: 0.2219, @10: 0.2971), NDCG (@2: 0.1193, @5: 0.1571, @10: 0.1815)
Test epoch:56, time: 191.515079(s), Recall (@2: 0.1473, @5: 0.2260, @10: 0.2984), NDCG (@2: 0.1305, @5: 0.1659, @10: 0.1892)

Valid epoch:58, time: 199.125190(s), Recall (@2: 0.1386, @5: 0.2227, @10: 0.2939), NDCG (@2: 0.1200, @5: 0.1579, @10: 0.1810)
Test epoch:58, time: 199.125190(s), Recall (@2: 0.1423, @5: 0.2188, @10: 0.2915), NDCG (@2: 0.1265, @5: 0.1610, @10: 0.1845)

Valid epoch:60, time: 207.008034(s), Recall (@2: 0.1352, @5: 0.2195, @10: 0.2932), NDCG (@2: 0.1190, @5: 0.1564, @10: 0.1802)
