anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:3
dis_span:128
dropout_rate:0.2
gpu:3
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 5.986788(s), Recall (@2: 0.0843, @5: 0.1371, @10: 0.1900), NDCG (@2: 0.0728, @5: 0.0966, @10: 0.1135)
Test epoch:2, time: 5.986788(s), Recall (@2: 0.0856, @5: 0.1427, @10: 0.2044), NDCG (@2: 0.0731, @5: 0.0985, @10: 0.1182)

Valid epoch:4, time: 12.475637(s), Recall (@2: 0.1149, @5: 0.1772, @10: 0.2434), NDCG (@2: 0.1008, @5: 0.1286, @10: 0.1499)
Test epoch:4, time: 12.475637(s), Recall (@2: 0.1207, @5: 0.1882, @10: 0.2579), NDCG (@2: 0.1052, @5: 0.1354, @10: 0.1579)

Valid epoch:6, time: 18.838543(s), Recall (@2: 0.1270, @5: 0.2007, @10: 0.2671), NDCG (@2: 0.1114, @5: 0.1446, @10: 0.1660)
Test epoch:6, time: 18.838543(s), Recall (@2: 0.1315, @5: 0.2124, @10: 0.2786), NDCG (@2: 0.1141, @5: 0.1503, @10: 0.1717)

Valid epoch:8, time: 25.251976(s), Recall (@2: 0.1354, @5: 0.2173, @10: 0.2796), NDCG (@2: 0.1177, @5: 0.1545, @10: 0.1747)
Test epoch:8, time: 25.251976(s), Recall (@2: 0.1455, @5: 0.2195, @10: 0.2930), NDCG (@2: 0.1244, @5: 0.1579, @10: 0.1817)

Valid epoch:10, time: 31.728309(s), Recall (@2: 0.1393, @5: 0.2227, @10: 0.2906), NDCG (@2: 0.1201, @5: 0.1576, @10: 0.1794)
Test epoch:10, time: 31.728309(s), Recall (@2: 0.1483, @5: 0.2303, @10: 0.3023), NDCG (@2: 0.1282, @5: 0.1650, @10: 0.1883)

Valid epoch:12, time: 38.116756(s), Recall (@2: 0.1401, @5: 0.2227, @10: 0.2926), NDCG (@2: 0.1207, @5: 0.1578, @10: 0.1805)
Test epoch:12, time: 38.116756(s), Recall (@2: 0.1514, @5: 0.2348, @10: 0.3047), NDCG (@2: 0.1297, @5: 0.1674, @10: 0.1898)

Valid epoch:14, time: 44.580262(s), Recall (@2: 0.1386, @5: 0.2216, @10: 0.2917), NDCG (@2: 0.1181, @5: 0.1552, @10: 0.1778)
Test epoch:14, time: 44.580262(s), Recall (@2: 0.1505, @5: 0.2270, @10: 0.2930), NDCG (@2: 0.1304, @5: 0.1647, @10: 0.1860)

