dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:100
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:2
inference_only:False
state_dict_path:None
time_span:128
dis_span:128
kl_reg:1.0
anchor_num:500
layer_num:3
valid_epoch:2
device:cuda:2

Test epoch:2, time: 6.247739(s), Recall (@2: 0.1072, @5: 0.1688, @10: 0.2305), NDCG (@2: 0.0928, @5: 0.1202, @10: 0.1401)

Test epoch:4, time: 12.247355(s), Recall (@2: 0.1087, @5: 0.1714, @10: 0.2423), NDCG (@2: 0.0937, @5: 0.1217, @10: 0.1446)

Test epoch:6, time: 18.519946(s), Recall (@2: 0.1307, @5: 0.2100, @10: 0.2755), NDCG (@2: 0.1126, @5: 0.1477, @10: 0.1689)

Test epoch:8, time: 24.454649(s), Recall (@2: 0.1380, @5: 0.2201, @10: 0.2917), NDCG (@2: 0.1194, @5: 0.1561, @10: 0.1793)

Test epoch:10, time: 30.411583(s), Recall (@2: 0.1414, @5: 0.2285, @10: 0.3040), NDCG (@2: 0.1220, @5: 0.1610, @10: 0.1855)

Test epoch:12, time: 36.648096(s), Recall (@2: 0.1518, @5: 0.2361, @10: 0.3107), NDCG (@2: 0.1314, @5: 0.1697, @10: 0.1936)

Test epoch:14, time: 42.679146(s), Recall (@2: 0.1481, @5: 0.2311, @10: 0.3049), NDCG (@2: 0.1282, @5: 0.1660, @10: 0.1899)

Test epoch:16, time: 48.874245(s), Recall (@2: 0.1462, @5: 0.2365, @10: 0.3107), NDCG (@2: 0.1260, @5: 0.1669, @10: 0.1909)

Test epoch:18, time: 55.181593(s), Recall (@2: 0.1468, @5: 0.2320, @10: 0.3083), NDCG (@2: 0.1281, @5: 0.1663, @10: 0.1910)

Test epoch:20, time: 61.369680(s), Recall (@2: 0.1514, @5: 0.2367, @10: 0.3163), NDCG (@2: 0.1323, @5: 0.1708, @10: 0.1965)

Test epoch:22, time: 67.781760(s), Recall (@2: 0.1533, @5: 0.2464, @10: 0.3148), NDCG (@2: 0.1327, @5: 0.1743, @10: 0.1964)

