dataset:four-sin
train_dir:default
batch_size:64
lr:0.001
maxlen:50
hidden_units:64
num_blocks:2
num_epochs:100
num_heads:1
dropout_rate:0.2
l2_emb:0.001
gpu:2
inference_only:False
state_dict_path:None
time_span:128
dis_span:256
kl_reg:1.0
anchor_num:500
layer_num:3
valid_epoch:1
device:cuda:2

Test epoch:1, time: 4.088435(s), Recall (@2: 0.0765, @5: 0.1350, @10: 0.1900), NDCG (@2: 0.0671, @5: 0.0933, @10: 0.1110)

Test epoch:2, time: 8.017472(s), Recall (@2: 0.0890, @5: 0.1576, @10: 0.2158), NDCG (@2: 0.0764, @5: 0.1069, @10: 0.1258)

Test epoch:3, time: 12.070335(s), Recall (@2: 0.1065, @5: 0.1718, @10: 0.2419), NDCG (@2: 0.0935, @5: 0.1228, @10: 0.1454)

Test epoch:4, time: 16.190965(s), Recall (@2: 0.1138, @5: 0.1815, @10: 0.2520), NDCG (@2: 0.0991, @5: 0.1292, @10: 0.1519)

Test epoch:5, time: 20.315396(s), Recall (@2: 0.1242, @5: 0.2055, @10: 0.2740), NDCG (@2: 0.1095, @5: 0.1456, @10: 0.1678)

Test epoch:6, time: 24.442507(s), Recall (@2: 0.1313, @5: 0.2098, @10: 0.2809), NDCG (@2: 0.1133, @5: 0.1482, @10: 0.1713)

Test epoch:7, time: 28.425008(s), Recall (@2: 0.1326, @5: 0.2115, @10: 0.2820), NDCG (@2: 0.1155, @5: 0.1507, @10: 0.1736)

Test epoch:8, time: 32.301455(s), Recall (@2: 0.1453, @5: 0.2313, @10: 0.3036), NDCG (@2: 0.1250, @5: 0.1633, @10: 0.1866)

Test epoch:9, time: 36.250777(s), Recall (@2: 0.1449, @5: 0.2303, @10: 0.2960), NDCG (@2: 0.1255, @5: 0.1634, @10: 0.1846)

Test epoch:10, time: 40.114463(s), Recall (@2: 0.1429, @5: 0.2275, @10: 0.3021), NDCG (@2: 0.1239, @5: 0.1623, @10: 0.1864)

Test epoch:11, time: 44.090292(s), Recall (@2: 0.1458, @5: 0.2292, @10: 0.3060), NDCG (@2: 0.1250, @5: 0.1623, @10: 0.1870)

Test epoch:12, time: 48.240184(s), Recall (@2: 0.1550, @5: 0.2404, @10: 0.3135), NDCG (@2: 0.1327, @5: 0.1709, @10: 0.1946)

Test epoch:13, time: 52.417806(s), Recall (@2: 0.1481, @5: 0.2398, @10: 0.3167), NDCG (@2: 0.1284, @5: 0.1695, @10: 0.1944)

Test epoch:14, time: 56.548245(s), Recall (@2: 0.1520, @5: 0.2426, @10: 0.3195), NDCG (@2: 0.1312, @5: 0.1716, @10: 0.1963)

Test epoch:15, time: 60.457158(s), Recall (@2: 0.1550, @5: 0.2490, @10: 0.3230), NDCG (@2: 0.1330, @5: 0.1753, @10: 0.1991)

Test epoch:16, time: 64.357509(s), Recall (@2: 0.1486, @5: 0.2307, @10: 0.3085), NDCG (@2: 0.1282, @5: 0.1651, @10: 0.1903)

Test epoch:17, time: 68.275223(s), Recall (@2: 0.1470, @5: 0.2357, @10: 0.3152), NDCG (@2: 0.1268, @5: 0.1664, @10: 0.1920)

Test epoch:18, time: 72.110230(s), Recall (@2: 0.1546, @5: 0.2454, @10: 0.3256), NDCG (@2: 0.1330, @5: 0.1737, @10: 0.1998)

Test epoch:19, time: 76.112998(s), Recall (@2: 0.1539, @5: 0.2495, @10: 0.3277), NDCG (@2: 0.1338, @5: 0.1765, @10: 0.2017)

Test epoch:20, time: 79.977970(s), Recall (@2: 0.1531, @5: 0.2480, @10: 0.3251), NDCG (@2: 0.1330, @5: 0.1753, @10: 0.2002)

Test epoch:21, time: 83.960046(s), Recall (@2: 0.1570, @5: 0.2546, @10: 0.3340), NDCG (@2: 0.1344, @5: 0.1784, @10: 0.2041)

Test epoch:22, time: 87.848421(s), Recall (@2: 0.1503, @5: 0.2320, @10: 0.3025), NDCG (@2: 0.1307, @5: 0.1672, @10: 0.1899)

Test epoch:23, time: 91.705105(s), Recall (@2: 0.1490, @5: 0.2329, @10: 0.3094), NDCG (@2: 0.1284, @5: 0.1658, @10: 0.1904)

Test epoch:24, time: 95.635123(s), Recall (@2: 0.1613, @5: 0.2503, @10: 0.3273), NDCG (@2: 0.1384, @5: 0.1781, @10: 0.2028)

Test epoch:25, time: 99.524088(s), Recall (@2: 0.1537, @5: 0.2449, @10: 0.3217), NDCG (@2: 0.1338, @5: 0.1744, @10: 0.1991)

Test epoch:26, time: 103.271046(s), Recall (@2: 0.1432, @5: 0.2294, @10: 0.3120), NDCG (@2: 0.1240, @5: 0.1627, @10: 0.1894)

Test epoch:27, time: 107.254739(s), Recall (@2: 0.1555, @5: 0.2428, @10: 0.3226), NDCG (@2: 0.1343, @5: 0.1734, @10: 0.1991)

Test epoch:28, time: 111.124917(s), Recall (@2: 0.1511, @5: 0.2402, @10: 0.3180), NDCG (@2: 0.1291, @5: 0.1689, @10: 0.1941)

Test epoch:29, time: 115.183578(s), Recall (@2: 0.1490, @5: 0.2298, @10: 0.3131), NDCG (@2: 0.1299, @5: 0.1661, @10: 0.1930)

Test epoch:30, time: 119.228277(s), Recall (@2: 0.1552, @5: 0.2480, @10: 0.3238), NDCG (@2: 0.1333, @5: 0.1748, @10: 0.1993)

Test epoch:31, time: 123.139444(s), Recall (@2: 0.1496, @5: 0.2273, @10: 0.3064), NDCG (@2: 0.1294, @5: 0.1640, @10: 0.1894)

Test epoch:32, time: 127.056056(s), Recall (@2: 0.1509, @5: 0.2329, @10: 0.3133), NDCG (@2: 0.1306, @5: 0.1672, @10: 0.1932)

Test epoch:33, time: 130.959186(s), Recall (@2: 0.1514, @5: 0.2329, @10: 0.3077), NDCG (@2: 0.1322, @5: 0.1686, @10: 0.1928)

Test epoch:34, time: 135.029999(s), Recall (@2: 0.1516, @5: 0.2365, @10: 0.3107), NDCG (@2: 0.1320, @5: 0.1703, @10: 0.1942)

Test epoch:35, time: 138.931946(s), Recall (@2: 0.1583, @5: 0.2443, @10: 0.3234), NDCG (@2: 0.1372, @5: 0.1759, @10: 0.2015)

Test epoch:36, time: 142.853248(s), Recall (@2: 0.1492, @5: 0.2342, @10: 0.3122), NDCG (@2: 0.1295, @5: 0.1678, @10: 0.1929)

Test epoch:37, time: 146.713532(s), Recall (@2: 0.1492, @5: 0.2318, @10: 0.3129), NDCG (@2: 0.1303, @5: 0.1676, @10: 0.1938)

Test epoch:38, time: 150.593588(s), Recall (@2: 0.1458, @5: 0.2322, @10: 0.3116), NDCG (@2: 0.1262, @5: 0.1651, @10: 0.1906)

Test epoch:39, time: 154.438459(s), Recall (@2: 0.1559, @5: 0.2432, @10: 0.3219), NDCG (@2: 0.1358, @5: 0.1747, @10: 0.2000)

Test epoch:40, time: 158.392101(s), Recall (@2: 0.1580, @5: 0.2374, @10: 0.3126), NDCG (@2: 0.1367, @5: 0.1722, @10: 0.1964)

Test epoch:41, time: 162.328543(s), Recall (@2: 0.1509, @5: 0.2367, @10: 0.3135), NDCG (@2: 0.1306, @5: 0.1691, @10: 0.1938)

Test epoch:42, time: 166.223038(s), Recall (@2: 0.1583, @5: 0.2413, @10: 0.3200), NDCG (@2: 0.1387, @5: 0.1760, @10: 0.2015)

