anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default

Valid epoch:2, time: 8.482224(s), NDCG (@2: 0.0746, @5: 0.1000, @10: 0.1175), Recall (@2: 0.0860, @5: 0.1432, @10: 0.1973)
Test epoch:2, time: 8.482224(s), NDCG (@2: 0.0866, @5: 0.1162, @10: 0.1347), Recall (@2: 0.1020, @5: 0.1686, @10: 0.2257)

Valid epoch:4, time: 17.022031(s), NDCG (@2: 0.1032, @5: 0.1321, @10: 0.1536), Recall (@2: 0.1175, @5: 0.1818, @10: 0.2486)
Test epoch:4, time: 17.022031(s), NDCG (@2: 0.1015, @5: 0.1297, @10: 0.1515), Recall (@2: 0.1173, @5: 0.1805, @10: 0.2475)

Valid epoch:6, time: 24.994309(s), NDCG (@2: 0.1117, @5: 0.1476, @10: 0.1679), Recall (@2: 0.1268, @5: 0.2072, @10: 0.2704)
Test epoch:6, time: 24.994309(s), NDCG (@2: 0.1125, @5: 0.1470, @10: 0.1680), Recall (@2: 0.1304, @5: 0.2078, @10: 0.2727)

Valid epoch:8, time: 32.856397(s), NDCG (@2: 0.1186, @5: 0.1557, @10: 0.1779), Recall (@2: 0.1376, @5: 0.2197, @10: 0.2885)
Test epoch:8, time: 32.856397(s), NDCG (@2: 0.1234, @5: 0.1631, @10: 0.1841), Recall (@2: 0.1429, @5: 0.2313, @10: 0.2971)

Valid epoch:10, time: 41.316894(s), NDCG (@2: 0.1250, @5: 0.1585, @10: 0.1826), Recall (@2: 0.1475, @5: 0.2219, @10: 0.2969)
Test epoch:10, time: 41.316894(s), NDCG (@2: 0.1259, @5: 0.1628, @10: 0.1861), Recall (@2: 0.1475, @5: 0.2294, @10: 0.3019)

Valid epoch:12, time: 49.997548(s), NDCG (@2: 0.1225, @5: 0.1587, @10: 0.1815), Recall (@2: 0.1429, @5: 0.2234, @10: 0.2937)
Test epoch:12, time: 49.997548(s), NDCG (@2: 0.1244, @5: 0.1638, @10: 0.1882), Recall (@2: 0.1445, @5: 0.2322, @10: 0.3075)

Valid epoch:14, time: 58.446894(s), NDCG (@2: 0.1228, @5: 0.1583, @10: 0.1821), Recall (@2: 0.1432, @5: 0.2219, @10: 0.2956)
Test epoch:14, time: 58.446894(s), NDCG (@2: 0.1248, @5: 0.1653, @10: 0.1891), Recall (@2: 0.1447, @5: 0.2350, @10: 0.3090)

Valid epoch:16, time: 67.095633(s), NDCG (@2: 0.1211, @5: 0.1589, @10: 0.1812), Recall (@2: 0.1408, @5: 0.2247, @10: 0.2934)
Test epoch:16, time: 67.095633(s), NDCG (@2: 0.1271, @5: 0.1703, @10: 0.1927), Recall (@2: 0.1466, @5: 0.2430, @10: 0.3124)

Valid epoch:18, time: 75.571259(s), NDCG (@2: 0.1221, @5: 0.1588, @10: 0.1823), Recall (@2: 0.1417, @5: 0.2236, @10: 0.2965)
Test epoch:18, time: 75.571259(s), NDCG (@2: 0.1281, @5: 0.1675, @10: 0.1910), Recall (@2: 0.1479, @5: 0.2352, @10: 0.3075)

Valid epoch:20, time: 83.997862(s), NDCG (@2: 0.1229, @5: 0.1608, @10: 0.1829), Recall (@2: 0.1429, @5: 0.2266, @10: 0.2947)
Test epoch:20, time: 83.997862(s), NDCG (@2: 0.1294, @5: 0.1705, @10: 0.1918), Recall (@2: 0.1494, @5: 0.2411, @10: 0.3070)

Valid epoch:22, time: 92.642336(s), NDCG (@2: 0.1244, @5: 0.1610, @10: 0.1851), Recall (@2: 0.1455, @5: 0.2279, @10: 0.3027)
Test epoch:22, time: 92.642336(s), NDCG (@2: 0.1360, @5: 0.1770, @10: 0.1989), Recall (@2: 0.1561, @5: 0.2475, @10: 0.3154)

Valid epoch:24, time: 100.821145(s), NDCG (@2: 0.1202, @5: 0.1586, @10: 0.1818), Recall (@2: 0.1410, @5: 0.2270, @10: 0.2986)
Test epoch:24, time: 100.821145(s), NDCG (@2: 0.1310, @5: 0.1753, @10: 0.1980), Recall (@2: 0.1498, @5: 0.2490, @10: 0.3189)

