anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 14.402319(s), Recall (@2: 0.0884, @5: 0.1384, @10: 0.1925), NDCG (@2: 0.0769, @5: 0.0991, @10: 0.1164)
Test epoch:2, time: 14.402319(s), Recall (@2: 0.1050, @5: 0.1712, @10: 0.2253), NDCG (@2: 0.0903, @5: 0.1200, @10: 0.1374)

Valid epoch:4, time: 28.437796(s), Recall (@2: 0.1154, @5: 0.1759, @10: 0.2337), NDCG (@2: 0.1012, @5: 0.1282, @10: 0.1468)
Test epoch:4, time: 28.437796(s), Recall (@2: 0.1136, @5: 0.1854, @10: 0.2538), NDCG (@2: 0.0999, @5: 0.1316, @10: 0.1537)

Valid epoch:6, time: 42.692089(s), Recall (@2: 0.1339, @5: 0.1999, @10: 0.2630), NDCG (@2: 0.1167, @5: 0.1464, @10: 0.1668)
Test epoch:6, time: 42.692089(s), Recall (@2: 0.1317, @5: 0.2087, @10: 0.2904), NDCG (@2: 0.1132, @5: 0.1474, @10: 0.1737)

Valid epoch:8, time: 56.450768(s), Recall (@2: 0.1371, @5: 0.2126, @10: 0.2816), NDCG (@2: 0.1178, @5: 0.1518, @10: 0.1741)
Test epoch:8, time: 56.450768(s), Recall (@2: 0.1397, @5: 0.2176, @10: 0.2911), NDCG (@2: 0.1194, @5: 0.1542, @10: 0.1781)

Valid epoch:10, time: 70.358100(s), Recall (@2: 0.1389, @5: 0.2184, @10: 0.2853), NDCG (@2: 0.1189, @5: 0.1545, @10: 0.1762)
Test epoch:10, time: 70.358100(s), Recall (@2: 0.1449, @5: 0.2253, @10: 0.2993), NDCG (@2: 0.1238, @5: 0.1596, @10: 0.1835)

Valid epoch:12, time: 84.379649(s), Recall (@2: 0.1438, @5: 0.2255, @10: 0.2883), NDCG (@2: 0.1238, @5: 0.1602, @10: 0.1805)
Test epoch:12, time: 84.379649(s), Recall (@2: 0.1447, @5: 0.2277, @10: 0.2993), NDCG (@2: 0.1246, @5: 0.1618, @10: 0.1850)

Valid epoch:14, time: 99.249244(s), Recall (@2: 0.1417, @5: 0.2206, @10: 0.2896), NDCG (@2: 0.1211, @5: 0.1565, @10: 0.1791)
