anchor_num:100
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 6.697149(s), Recall (@2: 0.0826, @5: 0.1367, @10: 0.1953), NDCG (@2: 0.0718, @5: 0.0958, @10: 0.1146)
Test epoch:2, time: 6.697149(s), Recall (@2: 0.1056, @5: 0.1636, @10: 0.2169), NDCG (@2: 0.0930, @5: 0.1184, @10: 0.1357)

Valid epoch:4, time: 13.206918(s), Recall (@2: 0.1145, @5: 0.1772, @10: 0.2344), NDCG (@2: 0.1012, @5: 0.1293, @10: 0.1477)
Test epoch:4, time: 13.206918(s), Recall (@2: 0.1201, @5: 0.1919, @10: 0.2561), NDCG (@2: 0.1048, @5: 0.1370, @10: 0.1577)

Valid epoch:6, time: 19.854610(s), Recall (@2: 0.1248, @5: 0.1966, @10: 0.2605), NDCG (@2: 0.1103, @5: 0.1427, @10: 0.1634)
Test epoch:6, time: 19.854610(s), Recall (@2: 0.1274, @5: 0.2012, @10: 0.2663), NDCG (@2: 0.1098, @5: 0.1428, @10: 0.1640)

Valid epoch:8, time: 26.770084(s), Recall (@2: 0.1345, @5: 0.2096, @10: 0.2764), NDCG (@2: 0.1167, @5: 0.1507, @10: 0.1723)
Test epoch:8, time: 26.770084(s), Recall (@2: 0.1369, @5: 0.2141, @10: 0.2863), NDCG (@2: 0.1175, @5: 0.1519, @10: 0.1752)

Valid epoch:10, time: 33.494001(s), Recall (@2: 0.1380, @5: 0.2188, @10: 0.2822), NDCG (@2: 0.1192, @5: 0.1554, @10: 0.1758)
Test epoch:10, time: 33.494001(s), Recall (@2: 0.1401, @5: 0.2257, @10: 0.2993), NDCG (@2: 0.1214, @5: 0.1595, @10: 0.1833)

Valid epoch:12, time: 40.090857(s), Recall (@2: 0.1399, @5: 0.2180, @10: 0.2911), NDCG (@2: 0.1208, @5: 0.1560, @10: 0.1797)
Test epoch:12, time: 40.090857(s), Recall (@2: 0.1438, @5: 0.2281, @10: 0.3038), NDCG (@2: 0.1238, @5: 0.1616, @10: 0.1862)

Valid epoch:14, time: 46.701411(s), Recall (@2: 0.1410, @5: 0.2221, @10: 0.2900), NDCG (@2: 0.1213, @5: 0.1576, @10: 0.1796)
Test epoch:14, time: 46.701411(s), Recall (@2: 0.1427, @5: 0.2305, @10: 0.3113), NDCG (@2: 0.1241, @5: 0.1635, @10: 0.1897)

Valid epoch:16, time: 53.117816(s), Recall (@2: 0.1436, @5: 0.2214, @10: 0.2909), NDCG (@2: 0.1227, @5: 0.1575, @10: 0.1800)
