anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:2
dis_span:256
dropout_rate:0.2
gpu:2
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 14.226134(s), Recall (@2: 0.0878, @5: 0.1386, @10: 0.1945), NDCG (@2: 0.0768, @5: 0.0997, @10: 0.1178)
Test epoch:2, time: 14.226134(s), Recall (@2: 0.1016, @5: 0.1680, @10: 0.2260), NDCG (@2: 0.0875, @5: 0.1171, @10: 0.1360)

Valid epoch:4, time: 28.651239(s), Recall (@2: 0.1190, @5: 0.1826, @10: 0.2434), NDCG (@2: 0.1035, @5: 0.1321, @10: 0.1518)
Test epoch:4, time: 28.651239(s), Recall (@2: 0.1179, @5: 0.1841, @10: 0.2555), NDCG (@2: 0.1036, @5: 0.1332, @10: 0.1563)

Valid epoch:6, time: 42.914976(s), Recall (@2: 0.1307, @5: 0.2078, @10: 0.2695), NDCG (@2: 0.1132, @5: 0.1476, @10: 0.1675)
Test epoch:6, time: 42.914976(s), Recall (@2: 0.1309, @5: 0.2124, @10: 0.2835), NDCG (@2: 0.1134, @5: 0.1502, @10: 0.1730)

Valid epoch:8, time: 57.758335(s), Recall (@2: 0.1386, @5: 0.2154, @10: 0.2833), NDCG (@2: 0.1203, @5: 0.1548, @10: 0.1769)
Test epoch:8, time: 57.758335(s), Recall (@2: 0.1496, @5: 0.2363, @10: 0.3088), NDCG (@2: 0.1284, @5: 0.1673, @10: 0.1907)

Valid epoch:10, time: 72.376298(s), Recall (@2: 0.1386, @5: 0.2171, @10: 0.2889), NDCG (@2: 0.1197, @5: 0.1553, @10: 0.1785)
Test epoch:10, time: 72.376298(s), Recall (@2: 0.1447, @5: 0.2305, @10: 0.2991), NDCG (@2: 0.1255, @5: 0.1644, @10: 0.1866)

Valid epoch:12, time: 87.572878(s), Recall (@2: 0.1421, @5: 0.2184, @10: 0.2911), NDCG (@2: 0.1224, @5: 0.1567, @10: 0.1801)
Test epoch:12, time: 87.572878(s), Recall (@2: 0.1421, @5: 0.2281, @10: 0.3031), NDCG (@2: 0.1229, @5: 0.1617, @10: 0.1860)

Valid epoch:14, time: 101.937612(s), Recall (@2: 0.1425, @5: 0.2214, @10: 0.2967), NDCG (@2: 0.1237, @5: 0.1589, @10: 0.1832)
Test epoch:14, time: 101.937612(s), Recall (@2: 0.1496, @5: 0.2376, @10: 0.3195), NDCG (@2: 0.1289, @5: 0.1686, @10: 0.1950)

Valid epoch:16, time: 116.283678(s), Recall (@2: 0.1404, @5: 0.2208, @10: 0.2922), NDCG (@2: 0.1214, @5: 0.1578, @10: 0.1809)
Test epoch:16, time: 116.283678(s), Recall (@2: 0.1507, @5: 0.2428, @10: 0.3200), NDCG (@2: 0.1309, @5: 0.1723, @10: 0.1972)

Valid epoch:18, time: 130.959066(s), Recall (@2: 0.1442, @5: 0.2251, @10: 0.2991), NDCG (@2: 0.1245, @5: 0.1605, @10: 0.1843)
Test epoch:18, time: 130.959066(s), Recall (@2: 0.1522, @5: 0.2359, @10: 0.3219), NDCG (@2: 0.1321, @5: 0.1698, @10: 0.1975)

Valid epoch:20, time: 145.786888(s), Recall (@2: 0.1429, @5: 0.2273, @10: 0.2982), NDCG (@2: 0.1242, @5: 0.1618, @10: 0.1847)
Test epoch:20, time: 145.786888(s), Recall (@2: 0.1561, @5: 0.2404, @10: 0.3163), NDCG (@2: 0.1348, @5: 0.1729, @10: 0.1975)

