anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:4
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 6.047283(s), Recall (@2: 0.0856, @5: 0.1393, @10: 0.1943), NDCG (@2: 0.0743, @5: 0.0981, @10: 0.1160)
Test epoch:2, time: 6.047283(s), Recall (@2: 0.1050, @5: 0.1705, @10: 0.2247), NDCG (@2: 0.0905, @5: 0.1196, @10: 0.1371)

Valid epoch:4, time: 12.075715(s), Recall (@2: 0.1190, @5: 0.1876, @10: 0.2434), NDCG (@2: 0.1038, @5: 0.1342, @10: 0.1522)
Test epoch:4, time: 12.075715(s), Recall (@2: 0.1212, @5: 0.1841, @10: 0.2508), NDCG (@2: 0.1049, @5: 0.1329, @10: 0.1543)

Valid epoch:6, time: 18.199195(s), Recall (@2: 0.1294, @5: 0.2046, @10: 0.2674), NDCG (@2: 0.1131, @5: 0.1469, @10: 0.1674)
Test epoch:6, time: 18.199195(s), Recall (@2: 0.1292, @5: 0.2104, @10: 0.2762), NDCG (@2: 0.1126, @5: 0.1489, @10: 0.1701)

Valid epoch:8, time: 24.205369(s), Recall (@2: 0.1382, @5: 0.2204, @10: 0.2807), NDCG (@2: 0.1191, @5: 0.1561, @10: 0.1757)
Test epoch:8, time: 24.205369(s), Recall (@2: 0.1419, @5: 0.2359, @10: 0.3077), NDCG (@2: 0.1216, @5: 0.1637, @10: 0.1868)

Valid epoch:10, time: 30.251774(s), Recall (@2: 0.1436, @5: 0.2229, @10: 0.2885), NDCG (@2: 0.1212, @5: 0.1570, @10: 0.1782)
Test epoch:10, time: 30.251774(s), Recall (@2: 0.1501, @5: 0.2376, @10: 0.3131), NDCG (@2: 0.1266, @5: 0.1658, @10: 0.1903)

Valid epoch:12, time: 36.212724(s), Recall (@2: 0.1376, @5: 0.2253, @10: 0.2891), NDCG (@2: 0.1174, @5: 0.1567, @10: 0.1773)
Test epoch:12, time: 36.212724(s), Recall (@2: 0.1473, @5: 0.2283, @10: 0.3010), NDCG (@2: 0.1265, @5: 0.1632, @10: 0.1867)

Valid epoch:14, time: 42.183208(s), Recall (@2: 0.1393, @5: 0.2253, @10: 0.2902), NDCG (@2: 0.1195, @5: 0.1582, @10: 0.1792)
Test epoch:14, time: 42.183208(s), Recall (@2: 0.1449, @5: 0.2372, @10: 0.3049), NDCG (@2: 0.1253, @5: 0.1664, @10: 0.1883)

Valid epoch:16, time: 48.024136(s), Recall (@2: 0.1386, @5: 0.2238, @10: 0.2898), NDCG (@2: 0.1188, @5: 0.1573, @10: 0.1785)
Test epoch:16, time: 48.024136(s), Recall (@2: 0.1494, @5: 0.2391, @10: 0.3111), NDCG (@2: 0.1280, @5: 0.1682, @10: 0.1914)

