anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:2
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 6.839006(s), Recall (@2: 0.0813, @5: 0.1341, @10: 0.1882), NDCG (@2: 0.0707, @5: 0.0941, @10: 0.1117)
Test epoch:2, time: 6.839006(s), Recall (@2: 0.1016, @5: 0.1647, @10: 0.2199), NDCG (@2: 0.0883, @5: 0.1162, @10: 0.1341)

Valid epoch:4, time: 13.657289(s), Recall (@2: 0.1065, @5: 0.1697, @10: 0.2348), NDCG (@2: 0.0936, @5: 0.1218, @10: 0.1428)
Test epoch:4, time: 13.657289(s), Recall (@2: 0.1134, @5: 0.1762, @10: 0.2419), NDCG (@2: 0.0986, @5: 0.1265, @10: 0.1479)

Valid epoch:6, time: 20.448608(s), Recall (@2: 0.1240, @5: 0.1928, @10: 0.2600), NDCG (@2: 0.1073, @5: 0.1381, @10: 0.1599)
Test epoch:6, time: 20.448608(s), Recall (@2: 0.1251, @5: 0.1975, @10: 0.2641), NDCG (@2: 0.1079, @5: 0.1402, @10: 0.1618)

Valid epoch:8, time: 27.457928(s), Recall (@2: 0.1339, @5: 0.2128, @10: 0.2822), NDCG (@2: 0.1158, @5: 0.1510, @10: 0.1733)
Test epoch:8, time: 27.457928(s), Recall (@2: 0.1406, @5: 0.2221, @10: 0.2878), NDCG (@2: 0.1202, @5: 0.1566, @10: 0.1779)

Valid epoch:10, time: 34.420704(s), Recall (@2: 0.1421, @5: 0.2167, @10: 0.2876), NDCG (@2: 0.1208, @5: 0.1544, @10: 0.1773)
Test epoch:10, time: 34.420704(s), Recall (@2: 0.1436, @5: 0.2303, @10: 0.2909), NDCG (@2: 0.1232, @5: 0.1619, @10: 0.1815)

Valid epoch:12, time: 41.710009(s), Recall (@2: 0.1412, @5: 0.2251, @10: 0.2896), NDCG (@2: 0.1207, @5: 0.1585, @10: 0.1793)
Test epoch:12, time: 41.710009(s), Recall (@2: 0.1470, @5: 0.2352, @10: 0.3096), NDCG (@2: 0.1260, @5: 0.1654, @10: 0.1894)

Valid epoch:14, time: 48.768358(s), Recall (@2: 0.1451, @5: 0.2247, @10: 0.2945), NDCG (@2: 0.1235, @5: 0.1592, @10: 0.1818)
Test epoch:14, time: 48.768358(s), Recall (@2: 0.1470, @5: 0.2419, @10: 0.3137), NDCG (@2: 0.1260, @5: 0.1685, @10: 0.1915)

Valid epoch:16, time: 55.643855(s), Recall (@2: 0.1417, @5: 0.2257, @10: 0.2917), NDCG (@2: 0.1217, @5: 0.1597, @10: 0.1810)
Test epoch:16, time: 55.643855(s), Recall (@2: 0.1533, @5: 0.2426, @10: 0.3228), NDCG (@2: 0.1317, @5: 0.1716, @10: 0.1973)

Valid epoch:18, time: 62.534014(s), Recall (@2: 0.1406, @5: 0.2270, @10: 0.2930), NDCG (@2: 0.1204, @5: 0.1590, @10: 0.1803)
Test epoch:18, time: 62.534014(s), Recall (@2: 0.1522, @5: 0.2445, @10: 0.3144), NDCG (@2: 0.1317, @5: 0.1728, @10: 0.1953)

Valid epoch:20, time: 69.356899(s), Recall (@2: 0.1384, @5: 0.2268, @10: 0.2945), NDCG (@2: 0.1195, @5: 0.1592, @10: 0.1811)
Test epoch:20, time: 69.356899(s), Recall (@2: 0.1533, @5: 0.2419, @10: 0.3159), NDCG (@2: 0.1331, @5: 0.1723, @10: 0.1964)

Valid epoch:22, time: 76.127346(s), Recall (@2: 0.1412, @5: 0.2270, @10: 0.2973), NDCG (@2: 0.1213, @5: 0.1597, @10: 0.1824)
Test epoch:22, time: 76.127346(s), Recall (@2: 0.1570, @5: 0.2426, @10: 0.3178), NDCG (@2: 0.1372, @5: 0.1755, @10: 0.1998)

Valid epoch:24, time: 83.087330(s), Recall (@2: 0.1442, @5: 0.2292, @10: 0.2993), NDCG (@2: 0.1226, @5: 0.1604, @10: 0.1832)
Test epoch:24, time: 83.087330(s), Recall (@2: 0.1552, @5: 0.2471, @10: 0.3228), NDCG (@2: 0.1346, @5: 0.1760, @10: 0.2006)

Valid epoch:26, time: 89.880802(s), Recall (@2: 0.1380, @5: 0.2268, @10: 0.2960), NDCG (@2: 0.1191, @5: 0.1588, @10: 0.1810)
Test epoch:26, time: 89.880802(s), Recall (@2: 0.1509, @5: 0.2361, @10: 0.3096), NDCG (@2: 0.1315, @5: 0.1698, @10: 0.1937)

Valid epoch:28, time: 96.524467(s), Recall (@2: 0.1432, @5: 0.2296, @10: 0.3006), NDCG (@2: 0.1227, @5: 0.1613, @10: 0.1842)
Test epoch:28, time: 96.524467(s), Recall (@2: 0.1537, @5: 0.2428, @10: 0.3182), NDCG (@2: 0.1351, @5: 0.1748, @10: 0.1991)

Valid epoch:30, time: 103.266707(s), Recall (@2: 0.1447, @5: 0.2223, @10: 0.2969), NDCG (@2: 0.1236, @5: 0.1583, @10: 0.1823)
