batch_size:128
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.3
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.0001
lr:0.001
maxlen:50
num_blocks:3
num_epochs:121
num_heads:2
state_dict_path:None
time_span:256
train_dir:default

Valid epoch:2, time: 8.750507(s), NDCG (@2: 0.0226, @5: 0.0518, @10: 0.0648), Recall (@2: 0.0285, @5: 0.0942, @10: 0.1348)
Test epoch:2, time: 8.750507(s), NDCG (@2: 0.0159, @5: 0.0718, @10: 0.0814), Recall (@2: 0.0198, @5: 0.1486, @10: 0.1785)

Valid epoch:4, time: 17.270098(s), NDCG (@2: 0.0397, @5: 0.0630, @10: 0.0803), Recall (@2: 0.0470, @5: 0.0987, @10: 0.1522)
Test epoch:4, time: 17.270098(s), NDCG (@2: 0.0442, @5: 0.0767, @10: 0.0980), Recall (@2: 0.0550, @5: 0.1289, @10: 0.1932)

Valid epoch:6, time: 25.701937(s), NDCG (@2: 0.0583, @5: 0.0795, @10: 0.0970), Recall (@2: 0.0675, @5: 0.1151, @10: 0.1697)
Test epoch:6, time: 25.701937(s), NDCG (@2: 0.0651, @5: 0.0892, @10: 0.1105), Recall (@2: 0.0737, @5: 0.1283, @10: 0.1945)

Valid epoch:8, time: 34.108191(s), NDCG (@2: 0.0681, @5: 0.0911, @10: 0.1090), Recall (@2: 0.0785, @5: 0.1304, @10: 0.1859)
Test epoch:8, time: 34.108191(s), NDCG (@2: 0.0754, @5: 0.1019, @10: 0.1237), Recall (@2: 0.0856, @5: 0.1442, @10: 0.2117)

Valid epoch:10, time: 42.583199(s), NDCG (@2: 0.0781, @5: 0.1040, @10: 0.1235), Recall (@2: 0.0901, @5: 0.1486, @10: 0.2096)
Test epoch:10, time: 42.583199(s), NDCG (@2: 0.0861, @5: 0.1147, @10: 0.1354), Recall (@2: 0.0975, @5: 0.1619, @10: 0.2260)

Valid epoch:12, time: 51.252748(s), NDCG (@2: 0.0874, @5: 0.1167, @10: 0.1359), Recall (@2: 0.1007, @5: 0.1660, @10: 0.2262)
Test epoch:12, time: 51.252748(s), NDCG (@2: 0.0971, @5: 0.1257, @10: 0.1478), Recall (@2: 0.1102, @5: 0.1746, @10: 0.2430)

Valid epoch:14, time: 59.862082(s), NDCG (@2: 0.0976, @5: 0.1273, @10: 0.1451), Recall (@2: 0.1123, @5: 0.1785, @10: 0.2339)
Test epoch:14, time: 59.862082(s), NDCG (@2: 0.1045, @5: 0.1354, @10: 0.1555), Recall (@2: 0.1186, @5: 0.1884, @10: 0.2512)

Valid epoch:16, time: 68.361245(s), NDCG (@2: 0.1069, @5: 0.1380, @10: 0.1568), Recall (@2: 0.1233, @5: 0.1930, @10: 0.2510)
Test epoch:16, time: 68.361245(s), NDCG (@2: 0.1132, @5: 0.1466, @10: 0.1687), Recall (@2: 0.1298, @5: 0.2050, @10: 0.2740)

Valid epoch:18, time: 76.869181(s), NDCG (@2: 0.1145, @5: 0.1447, @10: 0.1638), Recall (@2: 0.1324, @5: 0.1997, @10: 0.2587)
Test epoch:18, time: 76.869181(s), NDCG (@2: 0.1185, @5: 0.1508, @10: 0.1724), Recall (@2: 0.1356, @5: 0.2085, @10: 0.2753)

Valid epoch:20, time: 85.380371(s), NDCG (@2: 0.1169, @5: 0.1487, @10: 0.1692), Recall (@2: 0.1348, @5: 0.2048, @10: 0.2682)
