batch_size:128
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.3
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.0001
layer_num:4
lr:0.001
maxlen:50
num_blocks:3
num_epochs:121
num_heads:2
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:2, time: 8.612684(s), Recall (@2: 0.0291, @5: 0.0949, @10: 0.1343), NDCG (@2: 0.0230, @5: 0.0520, @10: 0.0647)
Test epoch:2, time: 8.612684(s), Recall (@2: 0.0205, @5: 0.1490, @10: 0.1783), NDCG (@2: 0.0163, @5: 0.0722, @10: 0.0816)

Valid epoch:4, time: 17.198552(s), Recall (@2: 0.0489, @5: 0.1024, @10: 0.1514), NDCG (@2: 0.0415, @5: 0.0657, @10: 0.0814)
Test epoch:4, time: 17.198552(s), Recall (@2: 0.0580, @5: 0.1449, @10: 0.1930), NDCG (@2: 0.0471, @5: 0.0856, @10: 0.1014)

Valid epoch:6, time: 25.770035(s), Recall (@2: 0.0662, @5: 0.1141, @10: 0.1667), NDCG (@2: 0.0577, @5: 0.0790, @10: 0.0959)
Test epoch:6, time: 25.770035(s), Recall (@2: 0.0772, @5: 0.1332, @10: 0.1951), NDCG (@2: 0.0680, @5: 0.0928, @10: 0.1127)

Valid epoch:8, time: 34.312189(s), Recall (@2: 0.0770, @5: 0.1292, @10: 0.1822), NDCG (@2: 0.0673, @5: 0.0904, @10: 0.1075)
Test epoch:8, time: 34.312189(s), Recall (@2: 0.0897, @5: 0.1503, @10: 0.2111), NDCG (@2: 0.0791, @5: 0.1063, @10: 0.1258)

Valid epoch:10, time: 42.971195(s), Recall (@2: 0.0901, @5: 0.1464, @10: 0.2035), NDCG (@2: 0.0779, @5: 0.1028, @10: 0.1212)
Test epoch:10, time: 42.971195(s), Recall (@2: 0.0981, @5: 0.1621, @10: 0.2266), NDCG (@2: 0.0876, @5: 0.1164, @10: 0.1374)

Valid epoch:12, time: 51.312154(s), Recall (@2: 0.1024, @5: 0.1606, @10: 0.2208), NDCG (@2: 0.0885, @5: 0.1146, @10: 0.1340)
Test epoch:12, time: 51.312154(s), Recall (@2: 0.1087, @5: 0.1731, @10: 0.2393), NDCG (@2: 0.0966, @5: 0.1254, @10: 0.1468)

Valid epoch:14, time: 59.940586(s), Recall (@2: 0.1097, @5: 0.1755, @10: 0.2318), NDCG (@2: 0.0956, @5: 0.1250, @10: 0.1430)
Test epoch:14, time: 59.940586(s), Recall (@2: 0.1177, @5: 0.1880, @10: 0.2549), NDCG (@2: 0.1052, @5: 0.1363, @10: 0.1578)

Valid epoch:16, time: 68.515132(s), Recall (@2: 0.1201, @5: 0.1884, @10: 0.2451), NDCG (@2: 0.1047, @5: 0.1353, @10: 0.1536)
Test epoch:16, time: 68.515132(s), Recall (@2: 0.1313, @5: 0.2027, @10: 0.2723), NDCG (@2: 0.1152, @5: 0.1466, @10: 0.1692)

Valid epoch:18, time: 77.101477(s), Recall (@2: 0.1285, @5: 0.1977, @10: 0.2529), NDCG (@2: 0.1109, @5: 0.1420, @10: 0.1598)
Test epoch:18, time: 77.101477(s), Recall (@2: 0.1358, @5: 0.2078, @10: 0.2781), NDCG (@2: 0.1187, @5: 0.1507, @10: 0.1734)

Valid epoch:20, time: 85.615699(s), Recall (@2: 0.1322, @5: 0.2018, @10: 0.2635), NDCG (@2: 0.1138, @5: 0.1453, @10: 0.1652)
Test epoch:20, time: 85.615699(s), Recall (@2: 0.1367, @5: 0.2117, @10: 0.2816), NDCG (@2: 0.1207, @5: 0.1540, @10: 0.1766)

Valid epoch:22, time: 94.107459(s), Recall (@2: 0.1330, @5: 0.2055, @10: 0.2650), NDCG (@2: 0.1159, @5: 0.1489, @10: 0.1681)
Test epoch:22, time: 94.107459(s), Recall (@2: 0.1406, @5: 0.2186, @10: 0.2881), NDCG (@2: 0.1229, @5: 0.1575, @10: 0.1798)

Valid epoch:24, time: 102.704884(s), Recall (@2: 0.1369, @5: 0.2119, @10: 0.2745), NDCG (@2: 0.1189, @5: 0.1524, @10: 0.1726)
Test epoch:24, time: 102.704884(s), Recall (@2: 0.1434, @5: 0.2225, @10: 0.2904), NDCG (@2: 0.1266, @5: 0.1619, @10: 0.1839)

Valid epoch:26, time: 111.226889(s), Recall (@2: 0.1408, @5: 0.2171, @10: 0.2784), NDCG (@2: 0.1228, @5: 0.1568, @10: 0.1765)
Test epoch:26, time: 111.226889(s), Recall (@2: 0.1477, @5: 0.2273, @10: 0.2971), NDCG (@2: 0.1292, @5: 0.1647, @10: 0.1874)

Valid epoch:28, time: 119.734420(s), Recall (@2: 0.1410, @5: 0.2180, @10: 0.2831), NDCG (@2: 0.1227, @5: 0.1572, @10: 0.1781)
Test epoch:28, time: 119.734420(s), Recall (@2: 0.1511, @5: 0.2339, @10: 0.3066), NDCG (@2: 0.1324, @5: 0.1694, @10: 0.1929)

Valid epoch:30, time: 128.272291(s), Recall (@2: 0.1425, @5: 0.2178, @10: 0.2824), NDCG (@2: 0.1232, @5: 0.1570, @10: 0.1780)
Test epoch:30, time: 128.272291(s), Recall (@2: 0.1514, @5: 0.2329, @10: 0.3019), NDCG (@2: 0.1325, @5: 0.1691, @10: 0.1913)

Valid epoch:32, time: 136.755148(s), Recall (@2: 0.1421, @5: 0.2178, @10: 0.2857), NDCG (@2: 0.1227, @5: 0.1569, @10: 0.1790)
Test epoch:32, time: 136.755148(s), Recall (@2: 0.1496, @5: 0.2313, @10: 0.3019), NDCG (@2: 0.1314, @5: 0.1683, @10: 0.1910)

Valid epoch:34, time: 145.212204(s), Recall (@2: 0.1438, @5: 0.2210, @10: 0.2846), NDCG (@2: 0.1246, @5: 0.1594, @10: 0.1800)
Test epoch:34, time: 145.212204(s), Recall (@2: 0.1520, @5: 0.2333, @10: 0.3006), NDCG (@2: 0.1327, @5: 0.1692, @10: 0.1909)

Valid epoch:36, time: 153.765353(s), Recall (@2: 0.1451, @5: 0.2242, @10: 0.2889), NDCG (@2: 0.1250, @5: 0.1604, @10: 0.1812)
Test epoch:36, time: 153.765353(s), Recall (@2: 0.1548, @5: 0.2385, @10: 0.3068), NDCG (@2: 0.1352, @5: 0.1726, @10: 0.1946)

Valid epoch:38, time: 162.313086(s), Recall (@2: 0.1442, @5: 0.2182, @10: 0.2915), NDCG (@2: 0.1243, @5: 0.1577, @10: 0.1813)
Test epoch:38, time: 162.313086(s), Recall (@2: 0.1518, @5: 0.2301, @10: 0.3029), NDCG (@2: 0.1321, @5: 0.1673, @10: 0.1909)

Valid epoch:40, time: 170.846968(s), Recall (@2: 0.1436, @5: 0.2236, @10: 0.2928), NDCG (@2: 0.1241, @5: 0.1600, @10: 0.1823)
Test epoch:40, time: 170.846968(s), Recall (@2: 0.1552, @5: 0.2363, @10: 0.3116), NDCG (@2: 0.1357, @5: 0.1722, @10: 0.1967)

Valid epoch:42, time: 179.381188(s), Recall (@2: 0.1427, @5: 0.2201, @10: 0.2900), NDCG (@2: 0.1234, @5: 0.1582, @10: 0.1806)
Test epoch:42, time: 179.381188(s), Recall (@2: 0.1550, @5: 0.2333, @10: 0.3040), NDCG (@2: 0.1343, @5: 0.1694, @10: 0.1922)

Valid epoch:44, time: 187.963381(s), Recall (@2: 0.1440, @5: 0.2247, @10: 0.2937), NDCG (@2: 0.1236, @5: 0.1600, @10: 0.1823)
Test epoch:44, time: 187.963381(s), Recall (@2: 0.1593, @5: 0.2404, @10: 0.3090), NDCG (@2: 0.1384, @5: 0.1744, @10: 0.1966)

Valid epoch:46, time: 196.562644(s), Recall (@2: 0.1445, @5: 0.2245, @10: 0.2958), NDCG (@2: 0.1231, @5: 0.1592, @10: 0.1821)
Test epoch:46, time: 196.562644(s), Recall (@2: 0.1591, @5: 0.2376, @10: 0.3150), NDCG (@2: 0.1388, @5: 0.1741, @10: 0.1992)

Valid epoch:48, time: 205.067300(s), Recall (@2: 0.1432, @5: 0.2255, @10: 0.2967), NDCG (@2: 0.1227, @5: 0.1598, @10: 0.1827)
Test epoch:48, time: 205.067300(s), Recall (@2: 0.1570, @5: 0.2439, @10: 0.3146), NDCG (@2: 0.1375, @5: 0.1766, @10: 0.1995)

Valid epoch:50, time: 213.712144(s), Recall (@2: 0.1410, @5: 0.2251, @10: 0.2958), NDCG (@2: 0.1220, @5: 0.1604, @10: 0.1833)
Test epoch:50, time: 213.712144(s), Recall (@2: 0.1600, @5: 0.2467, @10: 0.3189), NDCG (@2: 0.1402, @5: 0.1791, @10: 0.2024)

